epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.468316,8.249972,1.400675,11.432824,0.163265,0.163265,0.316566,0.318800,0.010000,0.211482,141.103068
2,1.293440,11.650126,1.241812,11.971139,0.174927,0.190233,0.435360,0.449556,0.010000,0.193032,137.841535
3,1.168939,12.114932,1.187472,12.207586,0.182216,0.193878,0.475242,0.480473,0.010000,0.192745,137.926214
4,1.104048,13.040251,1.135840,14.094650,0.185131,0.190233,0.511336,0.517683,0.010000,0.192982,138.087530
5,1.090294,13.785009,1.074958,14.102901,0.195335,0.193878,0.531727,0.536952,0.010000,0.193008,138.078496
6,1.048379,14.285482,1.058882,13.949909,0.204082,0.212099,0.558108,0.572318,0.010000,0.193019,137.895691
7,1.026619,14.704809,1.071608,15.342179,0.186589,0.188776,0.535155,0.543912,0.010000,0.192824,138.007664
8,1.022155,15.197192,1.019417,15.099136,0.211370,0.206997,0.583929,0.585702,0.010000,0.192823,138.136389
9,1.014618,15.167383,1.039018,14.150764,0.199708,0.207726,0.553178,0.566042,0.010000,0.192749,138.481603
10,1.010118,15.542972,0.970676,15.289333,0.220845,0.222303,0.606517,0.610539,0.010000,0.192938,138.527751
11,0.970732,15.321341,0.986519,15.029616,0.218659,0.223761,0.588106,0.595538,0.010000,0.193027,138.651169
12,0.970108,15.697351,1.000461,16.026543,0.213557,0.220117,0.580481,0.579972,0.010000,0.192799,138.523523
13,0.952489,15.809583,0.957567,15.283279,0.220117,0.223761,0.588743,0.601668,0.010000,0.193031,138.674878
14,0.937075,15.830708,0.931681,15.948794,0.223761,0.228134,0.633105,0.639206,0.010000,0.193344,138.724492
15,0.922646,16.181768,0.913870,15.800687,0.233236,0.239796,0.661369,0.667921,0.010000,0.192974,138.562762
16,0.921982,16.127333,0.959970,16.159037,0.220117,0.220845,0.629760,0.635248,0.010000,0.192874,138.665431
17,0.920027,16.110504,0.936865,16.298151,0.223761,0.223032,0.646291,0.648007,0.010000,0.192378,138.620239
18,0.909366,16.623640,0.917449,16.403381,0.229592,0.236880,0.634329,0.639803,0.010000,0.193150,138.715322
19,0.890896,16.376549,0.907980,16.351046,0.232507,0.233965,0.653739,0.660405,0.010000,0.193107,138.661728
20,0.890214,16.790009,0.900323,16.564402,0.237609,0.252187,0.660907,0.668114,0.010000,0.192809,138.587404
21,0.881455,16.900318,0.898644,15.995429,0.225219,0.231778,0.613259,0.615337,0.010000,0.192944,138.604460
22,0.886322,16.445650,0.889251,16.422413,0.239067,0.243440,0.674732,0.682380,0.010000,0.192722,138.614827
23,0.887017,16.885363,0.896233,16.569311,0.234694,0.241254,0.662848,0.671296,0.010000,0.192791,138.609629
24,0.872448,16.779716,0.904914,15.800121,0.224490,0.226676,0.612713,0.620292,0.010000,0.192950,138.640608
25,0.866663,16.720022,0.876032,17.145739,0.234694,0.239067,0.672114,0.679198,0.010000,0.192824,138.749040
26,0.866641,17.084908,0.899219,16.783890,0.231778,0.237609,0.637599,0.642283,0.010000,0.192776,138.688334
27,0.863351,17.289862,0.879580,16.718561,0.238338,0.236152,0.649853,0.655747,0.010000,0.192841,138.632837
28,0.857553,17.309954,0.893686,17.420835,0.231778,0.231778,0.651687,0.652462,0.010000,0.192547,138.695385
29,0.847937,17.276943,0.864392,16.720102,0.238338,0.247085,0.663976,0.668688,0.010000,0.192241,138.575482
30,0.841147,17.353495,0.883019,17.069237,0.232507,0.235423,0.612873,0.620094,0.010000,0.192394,138.587159
31,0.838638,17.200649,0.848315,16.704317,0.235423,0.247085,0.639914,0.648621,0.010000,0.192538,138.640734
32,0.828654,17.588997,0.870121,17.653511,0.239067,0.242711,0.654190,0.657163,0.010000,0.192474,138.571019
33,0.837524,17.722504,0.841351,16.781567,0.244169,0.247813,0.666708,0.673249,0.010000,0.192784,138.727434
34,0.828227,17.588898,0.859416,17.084753,0.237609,0.244169,0.651391,0.656350,0.010000,0.192696,138.710261
35,0.825068,17.867525,0.838720,17.312090,0.241983,0.247085,0.678938,0.685303,0.010000,0.192940,138.690704
36,0.811049,17.948565,0.829621,17.870621,0.244169,0.244898,0.693492,0.697042,0.010000,0.192438,138.544741
37,0.817200,18.316175,0.861028,18.316452,0.234694,0.236880,0.670009,0.672063,0.010000,0.192607,138.706078
38,0.808650,17.822195,0.843637,17.434135,0.237609,0.240525,0.673532,0.676731,0.010000,0.192543,138.634470
39,0.807294,17.950016,0.847387,17.381727,0.232507,0.235423,0.627660,0.634133,0.010000,0.192641,138.671060
40,0.805823,17.317770,0.821671,17.110907,0.236880,0.244169,0.661486,0.667458,0.010000,0.192646,138.714234
41,0.794909,17.563854,0.807292,17.336891,0.249271,0.252915,0.695688,0.697246,0.010000,0.192562,138.739619
42,0.789028,17.512733,0.808451,17.043520,0.245627,0.250729,0.670919,0.678960,0.010000,0.192362,139.240933
43,0.791995,17.717365,0.826983,17.709688,0.239796,0.241983,0.681102,0.685700,0.010000,0.188997,138.872884
44,0.794670,17.641857,0.814910,17.515779,0.239796,0.247085,0.681634,0.684323,0.010000,0.186397,138.495253
45,0.785748,18.068867,0.805357,18.042738,0.243440,0.246356,0.692751,0.697019,0.010000,0.185343,138.340794
46,0.774767,17.661150,0.810337,17.861483,0.242711,0.242711,0.676861,0.677511,0.010000,0.184977,138.159355
47,0.770076,17.576433,0.791809,17.340498,0.250729,0.258017,0.683150,0.688640,0.010000,0.185001,138.312737
48,0.766212,17.930035,0.799001,17.408659,0.247085,0.248542,0.685397,0.692456,0.010000,0.185201,138.179160
49,0.762586,17.428288,0.796142,17.091311,0.255102,0.260204,0.672830,0.677708,0.010000,0.182840,137.884188
50,0.769927,17.788687,0.776058,17.240999,0.250000,0.257289,0.692021,0.696528,0.010000,0.182876,137.771512
51,0.753702,17.989342,0.783766,17.561543,0.247085,0.256560,0.675608,0.686271,0.010000,0.181712,137.703076
52,0.749404,17.732891,0.788776,17.556463,0.242711,0.244898,0.684417,0.688608,0.010000,0.181737,137.733693
53,0.750351,17.496435,0.775632,17.646004,0.252187,0.252915,0.702618,0.704371,0.010000,0.181706,135.431514
54,0.744606,17.826761,0.772739,17.742870,0.249271,0.247085,0.692771,0.696198,0.010000,0.180668,135.740062
55,0.736048,17.880610,0.773223,17.405495,0.257289,0.264577,0.676085,0.680139,0.010000,0.182792,135.983678
56,0.743312,17.860710,0.768322,16.839857,0.254373,0.258017,0.676256,0.680915,0.010000,0.186747,136.063458
57,0.741595,17.789579,0.775459,17.195631,0.247085,0.255831,0.674895,0.677307,0.010000,0.192824,136.781221
58,0.730437,17.689484,0.751994,17.776075,0.249271,0.258017,0.696131,0.703215,0.010000,0.192809,137.108930
59,0.726048,17.621042,0.770189,17.347563,0.248542,0.255102,0.680275,0.687704,0.010000,0.192989,136.971402
60,0.718738,17.743828,0.766677,17.714893,0.247085,0.250729,0.676061,0.680092,0.010000,0.192949,137.133546
61,0.722010,17.836098,0.749535,16.908133,0.256560,0.257289,0.696735,0.700304,0.010000,0.192670,137.328938
62,0.724160,17.832695,0.753550,17.358150,0.246356,0.254373,0.672105,0.678845,0.010000,0.192739,137.824660
63,0.712162,17.713165,0.737190,17.129410,0.258017,0.261662,0.699685,0.700750,0.010000,0.184131,136.836369
64,0.709042,17.294973,0.749465,16.726225,0.254373,0.255831,0.682908,0.690154,0.010000,0.170433,135.497087
65,0.701833,17.556112,0.722902,17.368664,0.262391,0.271866,0.708946,0.715242,0.010000,0.170357,135.381681
66,0.707222,17.638824,0.733289,17.207281,0.258017,0.266035,0.706372,0.710648,0.010000,0.170378,135.505625
67,0.701955,17.591578,0.738503,17.167950,0.257289,0.266764,0.687971,0.694434,0.010000,0.170305,135.468326
68,0.696050,17.768232,0.734293,17.340914,0.251458,0.257289,0.685366,0.689290,0.010000,0.170466,135.521877
69,0.698157,17.823235,0.725579,17.555647,0.257289,0.264577,0.709911,0.712231,0.010000,0.170351,135.383929
70,0.692693,17.646587,0.737891,17.360996,0.253644,0.259475,0.680503,0.685823,0.010000,0.170465,135.465151
71,0.688505,17.520414,0.733974,17.220621,0.252187,0.255102,0.663870,0.671924,0.010000,0.170578,135.496589
72,0.687419,17.733370,0.706647,18.083826,0.255831,0.260933,0.716682,0.721735,0.010000,0.170235,135.502216
73,0.686991,17.759882,0.718971,17.450199,0.257289,0.265306,0.691649,0.698147,0.010000,0.170306,135.492890
74,0.687217,17.520138,0.715897,17.022324,0.252915,0.258746,0.692617,0.701683,0.010000,0.170345,135.494725
75,0.674411,17.660851,0.704381,17.791739,0.252915,0.253644,0.705576,0.710625,0.010000,0.170296,135.506269
76,0.675295,18.005913,0.708780,17.474466,0.255831,0.262391,0.702427,0.707841,0.010000,0.170241,135.474460
77,0.673703,17.964874,0.701503,17.486534,0.260204,0.266035,0.721457,0.722826,0.010000,0.170752,135.553340
78,0.667010,17.911993,0.689937,17.632048,0.256560,0.265306,0.714341,0.717456,0.010000,0.170637,135.517861
79,0.668127,17.883003,0.702947,17.328938,0.252915,0.256560,0.702077,0.704317,0.010000,0.170459,135.427407
80,0.661291,17.453867,0.682868,17.191801,0.255831,0.263848,0.713062,0.717989,0.010000,0.170482,135.754074
81,0.654234,17.231354,0.682372,17.231157,0.260933,0.267493,0.716248,0.720725,0.010000,0.170378,136.323237
82,0.658213,17.595798,0.693198,17.146509,0.256560,0.264577,0.700597,0.704254,0.010000,0.170576,136.351034
83,0.654069,17.367632,0.679331,17.063463,0.260933,0.266035,0.712041,0.716032,0.010000,0.170530,136.332433
84,0.645213,17.162970,0.676592,16.795162,0.260933,0.262391,0.710973,0.717154,0.010000,0.170605,136.351499
85,0.650159,17.648365,0.668127,17.210066,0.260204,0.267493,0.715510,0.719521,0.010000,0.170558,136.347012
86,0.646870,17.577557,0.692503,17.319359,0.253644,0.258746,0.696842,0.699180,0.010000,0.170532,136.331263
87,0.647424,17.737473,0.667045,17.313608,0.257289,0.263120,0.709547,0.715804,0.010000,0.170546,136.343777
88,0.635608,17.590553,0.665689,17.134914,0.259475,0.263120,0.706785,0.712862,0.010000,0.170797,136.242942
89,0.637812,17.593504,0.673335,17.619215,0.258746,0.261662,0.716365,0.718665,0.010000,0.170540,136.214953
90,0.634685,17.740675,0.680069,17.378271,0.256560,0.259475,0.692778,0.699650,0.010000,0.170490,136.352940
91,0.635121,17.719240,0.675716,16.556009,0.255102,0.263848,0.669795,0.674087,0.010000,0.170461,136.355063
92,0.630486,17.604784,0.679261,17.065647,0.259475,0.263120,0.700449,0.705449,0.010000,0.170403,136.326286
93,0.627767,17.640686,0.671400,17.235073,0.258017,0.260933,0.708612,0.712108,0.010000,0.170521,136.351289
94,0.625066,17.571074,0.655770,17.185070,0.261662,0.262391,0.707091,0.711393,0.010000,0.170539,136.266910
95,0.623566,17.382866,0.653481,17.108973,0.256560,0.265306,0.697935,0.701224,0.010000,0.170409,136.274277
96,0.619164,17.688608,0.653658,17.586159,0.258017,0.266035,0.699281,0.702290,0.010000,0.170656,136.344024
97,0.617493,17.679335,0.648769,17.513639,0.255102,0.260933,0.708279,0.711292,0.010000,0.170666,136.365399
98,0.613360,17.516846,0.656276,17.499096,0.258017,0.264577,0.711069,0.714484,0.010000,0.170593,136.429630
99,0.613641,17.504246,0.655241,16.924492,0.259475,0.267493,0.694844,0.699647,0.010000,0.170606,136.382835
100,0.607430,17.517786,0.637677,16.943007,0.263120,0.268222,0.710258,0.713988,0.010000,0.170823,136.462971
101,0.610015,17.773277,0.631432,17.555609,0.263120,0.266035,0.727693,0.728175,0.010000,0.170656,136.445947
102,0.600149,17.817978,0.658383,17.502684,0.258017,0.264577,0.706425,0.706756,0.010000,0.170667,136.404491
103,0.599791,17.613310,0.638318,17.051971,0.259475,0.269679,0.713812,0.719368,0.010000,0.170750,136.472166
104,0.598370,17.663389,0.636215,17.696459,0.261662,0.266035,0.710456,0.715993,0.010000,0.170705,136.500696
105,0.602770,17.652010,0.642648,17.693527,0.252187,0.258746,0.707921,0.710501,0.010000,0.170804,136.411441
106,0.595770,17.589001,0.626837,17.037539,0.257289,0.263848,0.697068,0.704376,0.010000,0.170611,136.380847
107,0.589069,17.288343,0.615461,16.984190,0.263848,0.271137,0.725862,0.729342,0.010000,0.170829,136.501280
108,0.589282,17.027878,0.621429,16.521761,0.260933,0.266764,0.710505,0.714654,0.010000,0.170556,136.345431
109,0.585216,17.215492,0.618224,16.849855,0.262391,0.271866,0.710589,0.717520,0.010000,0.170586,136.456817
