epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.642915,11.451303,1.510919,19.327835,0.072567,0.075413,0.150171,0.154217,0.010000,0.291028,614.716802
2,1.485556,20.952244,1.468030,21.488089,0.071713,0.074274,0.186830,0.186266,0.010000,0.275687,590.478889
3,1.415199,24.007139,1.416358,26.322409,0.073705,0.074843,0.199493,0.198886,0.010000,0.275652,578.100423
4,1.387740,25.500647,1.364466,28.358673,0.074274,0.073990,0.161056,0.158294,0.010000,0.275697,576.591086
5,1.386472,27.821024,1.384302,29.771219,0.075128,0.076836,0.215920,0.215188,0.010000,0.275524,574.566848
6,1.324224,30.490013,1.327038,33.907539,0.076551,0.076836,0.182344,0.182048,0.010000,0.275611,578.391086
7,1.338204,30.652487,1.343014,31.162855,0.076551,0.076836,0.221489,0.221680,0.010000,0.275639,583.356074
8,1.306294,30.655407,1.321946,32.031300,0.074559,0.075413,0.183299,0.183956,0.010000,0.276025,575.768057
9,1.385788,32.660812,1.361982,30.813982,0.073421,0.073990,0.200272,0.203293,0.010000,0.275654,575.040909
10,1.297392,31.974577,1.354958,33.655575,0.076266,0.076836,0.200408,0.199494,0.010000,0.275703,582.005113
11,1.257861,32.773800,1.322766,36.954353,0.074559,0.075413,0.155551,0.155202,0.010000,0.275598,581.625881
12,1.306301,37.495056,1.321343,38.573242,0.072567,0.073705,0.199467,0.198964,0.010000,0.276002,584.021421
13,1.250734,37.212742,1.288222,39.404350,0.076266,0.077120,0.206587,0.209766,0.010000,0.275968,580.429438
14,1.224667,39.794899,1.300085,41.663258,0.075697,0.075697,0.170731,0.171481,0.010000,0.275973,597.415335
15,1.189393,37.559052,1.238096,35.952320,0.077120,0.077405,0.226818,0.225233,0.010000,0.275850,592.561179
16,1.249362,38.361984,1.324118,37.434479,0.075697,0.076836,0.198965,0.198998,0.010000,0.276022,602.976662
17,1.198988,39.229034,1.169791,38.292156,0.077405,0.077689,0.254990,0.256064,0.010000,0.275893,607.298560
18,1.149930,38.439732,1.186950,34.344002,0.077120,0.076836,0.244718,0.242912,0.010000,0.275749,597.343466
19,1.159611,37.388916,1.215644,33.470436,0.078543,0.079966,0.253603,0.255261,0.010000,0.276641,593.304292
20,1.121196,35.658890,1.174681,36.399467,0.078258,0.078543,0.243656,0.247733,0.010000,0.276064,603.137334
21,1.110254,39.529716,1.190979,40.175301,0.076836,0.077405,0.231846,0.232196,0.010000,0.275832,608.585185
22,1.118097,39.604851,1.179171,41.392628,0.077689,0.078543,0.227480,0.226217,0.010000,0.275737,586.895584
23,1.127728,41.060650,1.259572,38.657688,0.076836,0.077405,0.201056,0.205366,0.010000,0.275776,578.403017
24,1.120566,39.557434,1.232428,41.142544,0.078828,0.079681,0.230851,0.229826,0.010000,0.275757,576.311986
25,1.100742,40.927338,1.148047,40.985268,0.077405,0.078258,0.223351,0.223843,0.010000,0.275741,574.261355
26,1.074686,40.938618,1.150006,42.147163,0.075982,0.076266,0.228388,0.229585,0.010000,0.275653,574.946495
27,1.088573,43.341110,1.143990,39.191833,0.076836,0.077405,0.240948,0.243287,0.010000,0.275711,573.396324
28,1.089948,42.867725,1.162870,43.571754,0.077689,0.077974,0.235959,0.236667,0.010000,0.275792,580.276707
29,1.094464,44.209667,1.115104,46.552704,0.079397,0.079966,0.250096,0.248296,0.010000,0.276482,575.445539
30,1.038520,45.265240,1.099154,44.517445,0.077974,0.078258,0.239480,0.242651,0.010000,0.275861,578.782392
31,1.036875,42.428345,1.143228,41.787167,0.075697,0.076266,0.215483,0.217278,0.010000,0.275733,578.517601
32,1.060948,41.596706,1.087063,42.455631,0.076551,0.076836,0.256481,0.256598,0.010000,0.275732,576.706344
33,1.023167,43.136875,1.109314,44.307045,0.077405,0.077405,0.236483,0.234628,0.010000,0.275541,577.856474
34,1.001447,42.472229,1.113448,44.392506,0.078258,0.078543,0.227540,0.228372,0.010000,0.275817,575.490173
35,1.008515,42.682312,1.048273,42.760487,0.078543,0.078828,0.234146,0.236191,0.010000,0.275932,572.415943
36,1.003126,42.237827,1.052445,41.063419,0.077689,0.077120,0.251533,0.250645,0.010000,0.275882,573.870972
37,0.994350,40.953251,1.051528,43.601093,0.077689,0.078258,0.232926,0.233775,0.010000,0.275426,577.736952
38,0.977790,41.780350,1.075071,44.063499,0.078543,0.080250,0.227136,0.229286,0.010000,0.275692,576.795490
39,0.993571,43.364876,1.021465,45.097282,0.077120,0.078828,0.248789,0.248787,0.010000,0.275919,574.883977
40,0.965464,42.925915,1.099055,41.627514,0.075982,0.076836,0.222192,0.223293,0.010000,0.275693,574.838762
41,0.982654,43.881786,1.036810,44.631992,0.077120,0.077974,0.230023,0.229036,0.010000,0.275598,574.066250
42,0.948426,44.578827,1.043501,43.079205,0.075413,0.075982,0.247044,0.246864,0.010000,0.275779,576.930016
43,0.944756,44.437160,1.038048,41.306446,0.079397,0.080820,0.265723,0.265181,0.010000,0.275883,576.678148
44,0.970127,43.144024,1.060404,43.215584,0.077120,0.077974,0.228687,0.227861,0.010000,0.275771,573.018266
45,0.960179,42.894356,1.009566,42.925999,0.077974,0.079397,0.234999,0.237047,0.010000,0.275773,577.343113
46,0.916243,42.002811,0.968688,41.747185,0.079112,0.079681,0.248274,0.248464,0.010000,0.275751,576.675579
47,0.906602,40.915257,0.988113,39.810112,0.077405,0.078543,0.271530,0.273294,0.010000,0.275658,571.779511
48,0.908417,41.963554,0.979619,41.806480,0.078543,0.079397,0.252126,0.255069,0.010000,0.275844,572.116268
49,0.903947,41.377373,0.976463,40.840878,0.077974,0.077974,0.265156,0.266747,0.010000,0.275779,575.377801
50,0.904830,41.420864,0.989988,42.386223,0.077689,0.077974,0.223744,0.221084,0.010000,0.275597,575.103753
51,0.902938,42.002193,1.016777,42.827435,0.076266,0.075982,0.190882,0.191038,0.010000,0.276064,573.633404
52,0.957254,38.605576,1.013423,40.598320,0.075982,0.076551,0.233453,0.235718,0.010000,0.275873,576.863185
53,0.902275,41.062134,0.974843,42.388649,0.076266,0.077120,0.246771,0.248577,0.010000,0.275629,579.759125
54,0.901938,42.774178,0.968582,40.077263,0.077974,0.079397,0.249238,0.248410,0.010000,0.275695,577.580556
55,0.884131,39.070454,0.950621,37.361034,0.077974,0.077974,0.268998,0.267827,0.010000,0.275846,572.458538
56,0.868082,38.703457,0.932970,37.673641,0.077120,0.077974,0.266360,0.267698,0.010000,0.275706,576.969168
57,0.887919,39.877159,0.969420,42.392551,0.078543,0.078258,0.226877,0.227717,0.010000,0.275728,575.783250
58,0.873804,41.125355,0.950989,40.273441,0.079112,0.080250,0.243570,0.243455,0.010000,0.276018,575.323008
59,0.860465,42.010838,0.964717,40.897305,0.079397,0.080820,0.250728,0.251086,0.010000,0.275558,573.777256
60,0.846407,39.953869,0.956098,37.229115,0.078543,0.078828,0.246019,0.247035,0.010000,0.275697,577.428851
61,0.854037,39.862476,0.913394,42.570122,0.079112,0.079966,0.249275,0.248247,0.010000,0.275767,583.794153
62,0.839637,41.029694,0.954719,41.940407,0.078543,0.079681,0.218683,0.218657,0.010000,0.275691,572.366336
63,0.841173,39.833584,0.941687,37.322212,0.079112,0.078828,0.251542,0.250755,0.010000,0.275684,576.248865
64,0.832260,38.916073,0.939047,38.465271,0.079397,0.081104,0.247226,0.246935,0.010000,0.275767,577.575439
65,0.813782,36.068581,0.938028,36.612408,0.078543,0.079966,0.242324,0.243823,0.010000,0.275678,576.340612
66,0.818492,38.543205,0.897669,42.014454,0.077974,0.079112,0.217048,0.219080,0.010000,0.275710,576.066665
67,0.813779,39.663391,0.883470,37.285484,0.078258,0.079966,0.275411,0.274900,0.010000,0.275617,575.186816
68,0.804024,37.904716,0.894548,37.684399,0.078543,0.080820,0.266931,0.266649,0.010000,0.275798,574.211905
69,0.839527,42.468277,0.981538,45.514366,0.077405,0.076836,0.189295,0.187012,0.010000,0.275699,574.590513
70,0.832516,42.735809,0.902850,39.626610,0.077120,0.077405,0.258696,0.260116,0.010000,0.275713,577.573530
71,0.802236,40.289394,0.875582,43.342308,0.077120,0.077405,0.231308,0.231501,0.010000,0.275734,574.626603
72,0.777201,41.558567,0.858175,40.050941,0.077689,0.078543,0.264263,0.264346,0.010000,0.275822,576.410605
73,0.782310,40.292664,0.885118,37.639553,0.078258,0.079966,0.262821,0.264228,0.010000,0.275720,575.443781
74,0.782254,39.590500,0.860452,40.514526,0.078828,0.079681,0.239204,0.241350,0.010000,0.275681,569.994619
75,0.777824,41.828560,0.866456,38.635948,0.079681,0.080820,0.263596,0.264390,0.010000,0.275653,578.072475
76,0.768201,38.148254,0.893096,38.022564,0.077689,0.078258,0.238853,0.242029,0.010000,0.275692,575.349780
77,0.766724,39.143707,0.836531,38.651958,0.079681,0.080250,0.263891,0.263288,0.010000,0.275781,575.166125
78,0.772667,40.253479,0.841941,38.537880,0.078543,0.079966,0.255601,0.256785,0.010000,0.275674,573.433814
79,0.763730,40.223843,0.859404,41.257877,0.077974,0.078543,0.237648,0.236879,0.010000,0.275695,576.188704
80,0.773801,40.834229,0.844449,42.082294,0.076266,0.077120,0.224026,0.226550,0.010000,0.275718,574.996941
81,0.761391,40.506855,0.864641,39.525146,0.077689,0.078828,0.247316,0.248416,0.010000,0.275697,575.416230
82,0.755066,40.631218,0.940525,43.038647,0.075697,0.075982,0.184853,0.185002,0.010000,0.275720,574.168491
83,0.766411,41.745056,0.835795,42.558758,0.076266,0.076551,0.248879,0.248875,0.010000,0.275801,575.159268
84,0.747560,42.109402,0.822828,40.461468,0.079112,0.079397,0.271549,0.270654,0.010000,0.275851,575.521106
85,0.770926,41.090714,0.820669,39.796272,0.078828,0.079397,0.268491,0.268322,0.010000,0.275732,578.185559
86,0.736460,40.914547,0.844706,41.282112,0.077974,0.077405,0.240284,0.239691,0.010000,0.275690,578.504009
87,0.725996,40.561203,0.796252,41.384632,0.080250,0.080820,0.258611,0.263824,0.010000,0.276074,576.535467
88,0.720609,38.029179,0.805979,40.215538,0.078543,0.079112,0.249241,0.250013,0.010000,0.275677,574.041737
89,0.733775,41.124897,0.823328,39.836163,0.078543,0.079112,0.265516,0.266695,0.010000,0.275737,580.076660
90,0.731382,40.081249,0.806321,41.069458,0.077974,0.078543,0.253465,0.256600,0.010000,0.275877,576.891662
91,0.718040,43.700344,0.834992,44.263042,0.077974,0.078258,0.229760,0.232495,0.010000,0.276012,575.700887
92,0.708696,42.977932,0.811017,43.248699,0.080535,0.081389,0.258465,0.256907,0.010000,0.275662,574.440116
93,0.693068,43.716827,0.771777,41.353863,0.079681,0.080250,0.265127,0.266044,0.010000,0.275682,577.547831
94,0.700615,43.556389,0.801842,39.692909,0.079681,0.080535,0.276295,0.276019,0.010000,0.275942,577.893012
95,0.711161,41.705086,0.795389,43.036983,0.078543,0.079397,0.263890,0.267520,0.010000,0.275639,574.136067
96,0.705846,41.227264,0.767275,40.408241,0.079681,0.080250,0.257583,0.255417,0.010000,0.275571,573.920459
97,0.684281,38.756332,0.787504,37.719875,0.079681,0.080535,0.256735,0.257324,0.010000,0.275603,572.446249
98,0.693028,36.880054,0.798987,36.913841,0.079112,0.080535,0.253156,0.253435,0.010000,0.275606,577.803888
99,0.687801,38.054016,0.772197,35.210888,0.079681,0.079966,0.258815,0.260296,0.010000,0.275585,577.040552
100,0.656013,35.513599,0.777096,33.652035,0.079966,0.081389,0.291662,0.294584,0.010000,0.275568,572.293074
