epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.740851,1.884433,0.281600,272.838610
2,1.825380,1.643990,0.398200,271.880094
3,1.640255,1.459991,0.472400,271.924997
4,1.499064,1.461087,0.497600,271.907852
5,1.359690,1.350544,0.526400,271.957154
6,1.256123,1.358125,0.552800,272.031294
7,1.161070,1.163008,0.615000,272.051572
8,1.068290,1.061633,0.642400,272.193683
9,0.994523,0.942352,0.692400,272.300635
10,0.923820,0.833642,0.729200,272.314674
11,0.860861,0.759873,0.749000,272.303779
12,0.810019,0.707422,0.761400,272.229298
13,0.767575,0.708675,0.767800,272.362232
14,0.736124,0.791154,0.746400,272.508961
15,0.704473,0.624906,0.796200,272.339980
16,0.676153,0.612860,0.801400,272.405331
17,0.640675,0.578515,0.808800,272.423544
18,0.625710,0.597172,0.812000,272.250676
19,0.603605,0.557493,0.815200,272.320157
20,0.585875,0.544577,0.831800,272.248267
21,0.562192,0.526568,0.828000,272.245255
22,0.550380,0.498680,0.835800,272.279638
23,0.531081,0.516539,0.835000,272.239090
24,0.519697,0.495715,0.836800,272.160634
25,0.501277,0.490060,0.844800,272.223295
26,0.492964,0.489758,0.841600,272.367144
27,0.479104,0.494882,0.846400,272.146215
28,0.465413,0.519551,0.840600,272.193388
29,0.451981,0.499800,0.844800,272.175145
30,0.444057,0.443776,0.858400,272.196460
31,0.429573,0.455173,0.858800,272.265257
32,0.418917,0.448401,0.859400,272.129708
33,0.413316,0.453710,0.854000,272.297319
34,0.406252,0.472883,0.853200,272.283676
35,0.392108,0.506288,0.850000,272.050156
36,0.384988,0.422171,0.869400,272.297847
37,0.378514,0.421182,0.871800,272.184220
38,0.372397,0.417317,0.870200,272.322320
39,0.360150,0.407471,0.875200,272.221884
40,0.353277,0.449185,0.863000,272.159256
41,0.350269,0.397811,0.877600,272.220506
42,0.340554,0.440611,0.871000,272.306287
43,0.332669,0.409910,0.876200,272.273130
44,0.327846,0.431628,0.874400,272.404823
45,0.328158,0.426017,0.875200,272.275763
46,0.317525,0.382651,0.888200,272.266247
47,0.310085,0.401113,0.884000,272.319829
48,0.306891,0.405761,0.875200,272.417671
49,0.303684,0.432433,0.871400,272.396601
50,0.299180,0.394127,0.885000,272.319461
51,0.287797,0.383618,0.883400,272.263090
52,0.282016,0.414699,0.885400,272.319571
53,0.277925,0.367750,0.890000,272.441274
54,0.273102,0.434754,0.882600,272.366723
55,0.273846,0.372573,0.893000,272.318406
56,0.266539,0.665383,0.839000,272.368588
57,0.264745,0.417179,0.890000,272.231024
58,0.260802,0.432436,0.879000,272.324815
59,0.256035,0.385766,0.888800,272.230511
60,0.247834,0.388909,0.891800,272.418711
61,0.249138,0.384694,0.894600,272.309755
62,0.242127,0.371239,0.893600,272.365796
63,0.240399,0.357633,0.900800,272.425986
64,0.239288,0.385313,0.897000,272.325487
65,0.230089,0.368535,0.897800,272.379079
66,0.233154,0.424438,0.887400,272.477249
67,0.232443,0.357284,0.898400,272.417619
68,0.226363,0.386436,0.896400,272.376152
69,0.221571,0.379626,0.899200,272.688518
70,0.212786,0.380635,0.897200,272.377495
71,0.216556,0.435893,0.884000,272.376978
72,0.213943,0.389291,0.899000,272.332142
73,0.210999,0.372176,0.900600,272.304715
74,0.205490,0.376552,0.896600,272.391572
75,0.199676,0.392635,0.900400,272.404670
76,0.192534,0.381576,0.900200,272.398240
77,0.194867,0.417125,0.897400,272.571280
78,0.194145,0.401337,0.901400,272.355213
79,0.187977,0.405628,0.899200,272.366432
80,0.187120,0.410774,0.895400,272.215648
81,0.181786,0.364933,0.903000,272.397543
82,0.183717,0.406337,0.902000,272.555088
83,0.177379,0.384845,0.903400,272.424083
84,0.175623,0.409699,0.903000,272.471165
85,0.172368,0.419082,0.900000,272.570661
86,0.173398,0.405136,0.897800,272.547291
87,0.168203,0.409833,0.901400,272.555220
88,0.161343,0.399595,0.903200,272.642443
89,0.172773,0.360814,0.909800,272.533016
90,0.164365,0.372043,0.904800,272.765144
91,0.161420,0.348843,0.911400,272.447689
92,0.137089,0.344584,0.913400,272.391299
93,0.116317,0.351713,0.916800,272.439335
94,0.115473,0.356363,0.912200,272.479394
95,0.111523,0.346076,0.918400,272.329166
96,0.106936,0.365800,0.918800,272.383023
97,0.106291,0.365009,0.916200,272.425051
98,0.100126,0.380269,0.914400,272.332599
99,0.101376,0.398148,0.913800,272.466185
100,0.096597,0.376913,0.917800,272.197933
101,0.097712,0.375122,0.916800,272.454465
102,0.098956,0.383716,0.916200,272.747390
103,0.097126,0.401161,0.916200,272.373001
104,0.093135,0.391067,0.914400,272.579728
105,0.097017,0.380540,0.917200,272.368646
106,0.095427,0.404525,0.913600,272.401507
107,0.094027,0.384216,0.916400,272.348218
108,0.090892,0.392094,0.916400,272.305178
109,0.090162,0.386971,0.918000,272.293718
110,0.091532,0.424093,0.913600,272.131883
111,0.090359,0.398260,0.912600,272.097790
