epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.371341,1.971802,0.258600,284.075422
2,1.890636,1.671216,0.373200,282.970862
3,1.639165,1.851724,0.415800,283.016450
4,1.424505,1.888425,0.459400,283.155341
5,1.278985,1.155707,0.594600,283.149740
6,1.151924,1.118763,0.635000,283.132275
7,1.037385,1.013192,0.668400,283.148383
8,0.953948,0.908945,0.718000,283.314037
9,0.880342,0.812585,0.731000,283.454781
10,0.830432,0.720181,0.762200,283.356611
11,0.788099,0.795186,0.743600,283.405839
12,0.745974,0.766839,0.762400,283.272364
13,0.719583,0.676663,0.793200,283.005087
14,0.686863,0.625062,0.805000,282.971867
15,0.658499,0.713714,0.781800,282.923201
16,0.637517,0.603068,0.809000,282.916293
17,0.611820,0.634167,0.806800,283.074557
18,0.594897,0.647295,0.805000,283.021279
19,0.578325,0.524310,0.824000,283.178832
20,0.564798,0.532496,0.832200,283.266214
21,0.548329,0.496819,0.841400,282.995257
22,0.534528,0.527556,0.841400,283.154145
23,0.525082,0.496120,0.843200,283.034987
24,0.511832,0.492746,0.849800,283.056830
25,0.493780,0.516360,0.840000,283.054936
26,0.483255,0.487305,0.847400,283.076876
27,0.479090,0.496911,0.842600,282.998832
28,0.469365,0.489261,0.845800,283.025558
29,0.457890,0.522960,0.844600,283.110258
30,0.452795,0.552535,0.835600,283.323876
31,0.440023,0.459142,0.855200,283.702631
32,0.433537,0.472208,0.848800,283.449138
33,0.425411,0.483666,0.851800,283.330746
34,0.418022,0.421190,0.864800,283.258247
35,0.409495,0.420568,0.865600,283.247896
36,0.402414,0.399596,0.875400,283.164523
37,0.396351,0.426905,0.869200,283.097242
38,0.396669,0.420936,0.871200,283.291689
39,0.384299,0.433417,0.863600,283.223982
40,0.381552,0.380501,0.879600,283.387486
41,0.374916,0.390603,0.878000,283.417760
42,0.371121,0.393769,0.875200,283.495783
43,0.361052,0.405687,0.876600,283.404331
44,0.355333,0.411540,0.876600,283.421239
45,0.352693,0.479356,0.861600,283.346623
46,0.347826,0.373385,0.884000,283.253517
47,0.340563,0.385529,0.884400,283.307136
48,0.338624,0.432216,0.875800,283.254875
49,0.338227,0.373616,0.884800,283.244285
50,0.330914,0.397109,0.883400,283.303330
51,0.325316,0.365366,0.892000,283.287030
52,0.321402,0.414381,0.884800,283.305011
53,0.314991,0.387183,0.886800,283.297272
54,0.323908,0.465447,0.869400,283.323765
55,0.313462,0.390424,0.882800,283.480563
56,0.306399,0.370732,0.893600,283.248028
57,0.303856,0.392791,0.888800,283.377098
58,0.302881,0.399370,0.881400,283.472452
59,0.296878,0.400159,0.890200,283.358416
60,0.300198,0.358635,0.896000,283.563231
61,0.289239,0.355696,0.892600,283.437928
62,0.286750,0.379599,0.894200,283.457593
63,0.282982,0.332083,0.898800,283.445516
64,0.278362,0.380614,0.887600,283.347642
65,0.282492,0.378816,0.890400,283.276226
66,0.276199,0.330131,0.899400,283.204111
67,0.270691,0.384837,0.893000,283.360821
68,0.274172,0.358693,0.898400,283.188271
69,0.268557,0.352940,0.899800,283.351860
70,0.268681,0.364212,0.893800,283.222751
71,0.273960,0.457246,0.889200,283.247754
72,0.264329,0.367666,0.897800,283.199458
73,0.260036,0.338430,0.908200,283.159891
74,0.256715,0.360322,0.897000,283.221644
75,0.253494,0.330920,0.901200,283.198963
76,0.253027,0.353029,0.904400,283.347012
77,0.245705,0.387225,0.898200,283.133056
78,0.248050,0.324256,0.906200,283.018176
79,0.245083,0.375355,0.896200,283.088258
80,0.240021,0.338779,0.904000,282.872735
81,0.237786,0.373819,0.897600,283.023343
82,0.239571,0.425697,0.886000,282.871693
83,0.237024,0.330497,0.903800,282.845378
