epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,4.266788,12.053569,2.999796,2.086252,0.135632,0.142128,0.149417,0.187518,0.165510,0.010000,0.175245,126.026459
2,2.867235,2.271779,2.697591,1.917319,0.121130,0.248542,0.246356,0.433082,0.460182,0.010000,0.125755,119.637787
3,2.548259,1.782954,2.486056,1.647427,0.089212,0.329446,0.360787,0.673641,0.683211,0.010000,0.125889,119.298814
4,2.450540,1.647407,2.523777,1.619778,0.086110,0.347668,0.364431,0.706281,0.713553,0.010000,0.125817,119.364284
5,2.409042,1.607113,2.406053,1.557304,0.078622,0.381195,0.411808,0.785310,0.773187,0.010000,0.125783,119.221090
6,2.376410,1.575701,2.414565,1.557383,0.078365,0.392857,0.425656,0.780589,0.782229,0.010000,0.125704,119.295482
7,2.352584,1.551697,2.368607,1.555904,0.078300,0.360058,0.403790,0.790224,0.790950,0.010000,0.126143,119.205445
8,2.329809,1.535403,2.362466,1.532053,0.075793,0.367347,0.435860,0.785235,0.803837,0.010000,0.125703,119.306317
9,2.313400,1.525090,2.376844,1.532894,0.076428,0.364431,0.418367,0.785593,0.812779,0.010000,0.125793,119.188893
10,2.293111,1.508140,2.348278,1.512241,0.073844,0.376093,0.432216,0.793770,0.821923,0.010000,0.125823,119.310917
11,2.283600,1.489395,2.332899,1.516414,0.073051,0.361516,0.440962,0.807144,0.832060,0.010000,0.125902,119.435677
12,2.263875,1.501708,2.306031,1.539360,0.076259,0.355685,0.416181,0.778082,0.805202,0.010000,0.125836,119.279819
13,2.252919,1.466536,2.290899,1.471681,0.068974,0.389213,0.466472,0.824422,0.854080,0.010000,0.126167,119.172326
14,2.239620,1.456821,2.284175,1.471099,0.068760,0.429300,0.455539,0.832416,0.836304,0.010000,0.125950,119.380763
15,2.226220,1.445225,2.290528,1.484002,0.070115,0.405248,0.427843,0.823141,0.834828,0.010000,0.125760,119.078132
16,2.216805,1.465153,2.258887,1.458108,0.068011,0.384840,0.467930,0.820497,0.861060,0.010000,0.125897,119.240241
17,2.200403,1.436881,2.252741,1.444738,0.065875,0.413994,0.482507,0.846875,0.864445,0.010000,0.125748,119.236076
18,2.197317,1.418125,2.250070,1.439674,0.064837,0.418367,0.491254,0.849177,0.868624,0.010000,0.125661,119.051748
19,2.173917,1.414044,2.236806,1.442489,0.066190,0.405977,0.473761,0.839806,0.868053,0.010000,0.126110,119.151250
20,2.165200,1.412162,2.233185,1.523392,0.069176,0.384111,0.498542,0.824056,0.858898,0.010000,0.125758,119.187726
21,2.153784,1.411770,2.223285,1.427953,0.065122,0.409621,0.496356,0.840049,0.868878,0.010000,0.125819,119.268269
22,2.134108,1.396903,2.180963,1.386614,0.061296,0.473761,0.519679,0.871231,0.878055,0.010000,0.125714,118.981734
23,2.109521,1.358735,2.153620,1.363375,0.059854,0.502187,0.541545,0.871468,0.881483,0.010000,0.125850,119.022230
24,2.065411,1.338017,2.116520,1.374915,0.063172,0.444606,0.494898,0.843157,0.860864,0.010000,0.125639,119.386632
25,2.043074,1.404591,2.073460,1.308272,0.061906,0.460641,0.478134,0.839993,0.850428,0.010000,0.126025,120.532813
26,2.017247,1.443101,2.170073,1.891822,0.095872,0.293732,0.319971,0.688013,0.712772,0.010000,0.125989,120.927435
27,2.058736,1.497321,2.201218,1.593016,0.085849,0.315598,0.303207,0.792021,0.790953,0.010000,0.125720,119.369930
28,2.002189,1.488657,2.007632,1.247285,0.056799,0.537172,0.527697,0.853548,0.852554,0.010000,0.125781,119.203865
29,1.947169,1.317989,2.637535,1.727901,0.091901,0.293003,0.320700,0.692318,0.706652,0.010000,0.125819,119.678204
30,1.926172,1.325971,2.020264,1.268403,0.057025,0.534257,0.531341,0.876007,0.879709,0.010000,0.126022,120.257509
31,1.882079,1.283264,2.119943,1.420539,0.068515,0.448251,0.448980,0.850361,0.857520,0.010000,0.126078,120.160363
32,1.875547,1.325541,2.081108,1.307404,0.060927,0.451166,0.472303,0.834062,0.846082,0.010000,0.126425,120.918703
33,1.823014,1.175202,1.934395,1.167531,0.050128,0.558309,0.549563,0.894316,0.894196,0.010000,0.126490,120.344842
34,1.847838,1.498359,1.988875,1.191383,0.052253,0.529883,0.526239,0.878159,0.879810,0.010000,0.126138,121.044900
35,1.789790,1.192096,1.926836,1.318710,0.059611,0.446064,0.459184,0.844888,0.849725,0.010000,0.126076,120.657513
36,1.752556,1.173968,1.933376,1.284942,0.048052,0.574344,0.578717,0.901975,0.903367,0.010000,0.126198,120.519135
37,1.753929,1.157869,1.917257,1.154750,0.050177,0.540816,0.527697,0.894768,0.892144,0.010000,0.126222,121.123973
38,1.728105,1.165155,2.098052,1.212051,0.052733,0.502915,0.518950,0.874227,0.878812,0.010000,0.126224,120.715140
