epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.504139,2.235376,0.214000,461.132665
2,1.890374,1.792666,0.348200,458.585031
3,1.726128,1.726313,0.367800,459.784440
4,1.576442,1.535925,0.451000,463.146817
5,1.440132,1.432543,0.487000,458.542743
6,1.334534,1.419853,0.511000,460.795007
7,1.245937,1.291823,0.556000,463.484863
8,1.163577,1.125400,0.617600,458.690196
9,1.079230,1.183871,0.601200,459.619516
10,1.003351,0.984255,0.666200,458.233918
11,0.926263,0.952625,0.691400,459.256283
12,0.864327,0.852157,0.720400,459.480617
13,0.811422,0.922219,0.701200,458.899645
14,0.763348,0.819318,0.734200,458.484193
15,0.720775,0.708823,0.770600,458.136638
16,0.683895,0.749112,0.759400,459.538589
17,0.655693,0.658556,0.781400,458.432818
18,0.627615,0.641467,0.785200,457.755976
19,0.600212,0.679438,0.784000,460.515958
20,0.579409,0.620572,0.791400,460.407835
21,0.560936,0.579950,0.810800,459.602365
22,0.544886,0.632350,0.802200,458.323740
23,0.529180,0.607886,0.805600,461.258323
24,0.514295,0.566898,0.814800,459.020962
25,0.496895,0.616858,0.807800,459.710147
26,0.486396,0.558313,0.822800,460.762255
27,0.472641,0.560268,0.818800,458.135314
28,0.464525,0.517181,0.836800,459.398274
29,0.450818,0.534384,0.833800,458.957374
30,0.440011,0.559891,0.815600,460.340778
31,0.430832,0.526091,0.835200,465.979926
32,0.420629,0.539350,0.833400,460.073687
33,0.412805,0.508369,0.838000,460.982109
34,0.400082,0.486550,0.847400,458.725254
35,0.388499,0.521623,0.836200,458.695291
36,0.382777,0.543456,0.832200,458.226254
37,0.376483,0.534314,0.837600,462.810874
38,0.369110,0.465813,0.852600,459.297777
39,0.360095,0.509003,0.845800,462.754382
40,0.356307,0.487327,0.849800,460.339356
41,0.347357,0.467079,0.854400,461.807891
42,0.340853,0.475327,0.859200,459.836524
43,0.333600,0.493912,0.848400,458.707039
44,0.326312,0.489553,0.852000,459.839008
45,0.323853,0.473556,0.857200,463.429768
46,0.317563,0.466967,0.855800,459.259710
47,0.313445,0.456107,0.861600,459.418517
48,0.306503,0.486732,0.852800,460.982842
49,0.301597,0.481712,0.857200,458.338968
50,0.298331,0.519363,0.847000,460.443329
51,0.291508,0.456259,0.864400,461.381870
52,0.285464,0.511383,0.850200,459.061955
53,0.284546,0.446157,0.855800,458.951317
54,0.278455,0.442904,0.870200,457.719740
55,0.274380,0.486188,0.863200,459.575997
56,0.274097,0.435876,0.872400,458.720251
57,0.265807,0.568218,0.847200,459.542904
58,0.264599,0.458350,0.862400,460.248808
59,0.257241,0.484891,0.868600,458.536860
60,0.256941,0.474036,0.870800,459.790411
61,0.255768,0.471067,0.864600,461.560311
62,0.252697,0.486728,0.861600,460.304594
63,0.246235,0.484084,0.868400,459.290574
64,0.243777,0.438029,0.872600,459.639227
65,0.242654,0.490962,0.868800,462.947395
66,0.240308,0.442996,0.875800,460.599770
67,0.233809,0.461307,0.870800,461.671513
68,0.233960,0.440706,0.868800,463.714316
69,0.228395,0.493071,0.861200,459.688179
70,0.226729,0.549623,0.857600,457.494607
71,0.225962,0.475855,0.866000,459.461090
72,0.219901,0.477961,0.870600,460.675089
73,0.221809,0.546872,0.852200,462.539292
74,0.215565,0.460643,0.877600,459.730229
75,0.212032,0.493804,0.872400,460.062064
