epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,2.688549,2.338380,0.097000,426.785665
2,2.334763,2.327845,0.097600,423.536127
3,2.322964,2.318281,0.107200,424.759464
4,2.314594,2.312697,0.109800,424.171983
5,2.307380,2.305109,0.113200,424.621344
6,2.300653,2.300112,0.116200,423.282679
7,2.247907,2.077507,0.190800,423.839256
8,1.897649,1.716322,0.352000,424.756641
9,1.699366,1.578693,0.411200,424.358156
10,1.509584,1.406841,0.490600,426.219815
11,1.354536,1.331332,0.546200,425.449786
12,1.224679,1.150205,0.605800,426.938653
13,1.133965,1.100776,0.630000,426.109750
14,1.043123,1.419360,0.600600,425.475961
15,0.973242,0.885998,0.708400,426.849091
16,0.918568,1.035300,0.664800,425.647254
17,0.862830,0.851655,0.724600,424.982115
18,0.827803,0.756324,0.754200,425.425372
19,0.791334,0.738550,0.756600,425.767689
20,0.751065,0.715137,0.764800,426.192953
21,0.712554,0.740897,0.760600,425.703913
22,0.689686,0.684754,0.774000,425.877968
23,0.664025,0.614064,0.805200,425.248241
24,0.644051,0.611760,0.802000,425.039603
25,0.610975,0.599554,0.804600,426.129362
26,0.598405,0.593588,0.816000,426.527207
27,0.579017,0.618513,0.803400,426.174493
28,0.562952,0.660374,0.802600,425.450636
29,0.550453,0.557614,0.823800,425.696457
30,0.536408,0.563870,0.833400,425.179756
31,0.520396,0.746855,0.814200,425.936556
32,0.508140,0.618245,0.803400,425.228296
33,0.497640,0.530407,0.841600,427.326541
34,0.491214,0.507434,0.841600,426.386506
35,0.472347,0.530562,0.844400,425.727399
36,0.466129,0.502642,0.843800,426.268585
37,0.450984,0.520177,0.837400,425.262145
38,0.443367,0.467799,0.860400,425.482283
39,0.435807,0.493854,0.847000,425.636857
40,0.423581,0.491124,0.850400,427.417448
41,0.420994,0.465123,0.852400,425.235181
42,0.411951,0.496708,0.854600,427.110768
43,0.403455,0.484286,0.854600,426.255511
44,0.399830,0.442553,0.866200,425.041047
45,0.398929,0.499163,0.857600,426.993910
46,0.381465,0.487530,0.855600,427.093885
47,0.378200,0.497486,0.853000,425.513072
48,0.373376,0.464728,0.856800,427.697345
49,0.369486,0.480510,0.859200,426.293716
50,0.359871,0.531042,0.848200,425.848263
51,0.353397,0.489155,0.866400,425.983991
52,0.340760,0.445539,0.864400,425.378633
53,0.337448,0.404368,0.877600,427.196906
54,0.331379,0.437093,0.866400,425.754890
55,0.325723,0.450728,0.869800,425.677235
56,0.317551,0.437905,0.871600,425.817267
57,0.322355,0.449062,0.869600,428.023868
58,0.309621,0.445136,0.870200,426.945560
59,0.306576,0.567259,0.868400,425.906679
60,0.300412,0.446415,0.873800,426.470145
61,0.298805,0.551205,0.861200,425.978809
62,0.291881,1.102600,0.745200,425.740668
63,0.333834,0.469347,0.859200,425.328422
64,0.308387,0.446951,0.874000,425.382775
65,0.293011,0.392718,0.886200,425.698185
66,0.297153,0.407572,0.884200,426.359456
67,0.282345,0.442487,0.875200,426.294488
68,0.282346,0.441596,0.875200,426.915806
69,0.277614,0.427257,0.877600,426.204682
70,0.266760,0.427617,0.884400,429.624499
71,0.263268,0.463242,0.870800,426.090102
