epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,2.960797,1.690497,0.730375,0.291689,0.211625,0.211625,528.124580
2,2.454630,1.914173,0.737201,0.013631,0.064707,0.064707,524.676317
3,2.351768,1.872321,0.622298,0.380408,0.264265,0.264265,520.952753
4,2.287852,1.656443,0.744027,0.202227,0.327518,0.327518,522.808870
5,2.219716,1.612355,0.749147,0.330307,0.418494,0.418494,524.747677
6,2.160346,2.873915,0.195677,0.133717,0.116512,0.116512,525.214481
7,2.092912,1.638682,0.682025,0.475428,0.453019,0.453019,538.116303
8,2.046618,1.504956,0.762799,0.562934,0.546350,0.546350,525.287145
9,2.006669,1.512473,0.755973,0.557990,0.532594,0.532594,527.507887
10,1.973286,1.464163,0.774175,0.439552,0.495280,0.495280,524.189592
11,1.948758,1.504803,0.766212,0.430706,0.502799,0.502799,529.424358
12,1.914783,1.562834,0.767349,0.400871,0.458568,0.458568,531.576490
13,1.895520,1.631765,0.709898,0.521278,0.506972,0.506972,524.413073
14,1.881951,1.541967,0.763367,0.313268,0.388545,0.388545,540.876222
15,1.870465,1.392823,0.780432,0.615686,0.632437,0.632437,534.105985
16,1.858334,1.406997,0.770762,0.417293,0.515264,0.515264,523.293094
17,1.836062,1.382564,0.779295,0.537854,0.576948,0.576948,523.742283
18,1.819391,1.340287,0.802617,0.634420,0.658898,0.658898,527.809045
19,1.808947,1.323851,0.800910,0.586802,0.636256,0.636256,524.447559
20,1.788553,1.479642,0.773606,0.465235,0.507170,0.507170,532.904080
21,1.788773,1.308660,0.786689,0.582969,0.631743,0.631743,529.295143
22,1.772602,1.310743,0.793515,0.550468,0.624965,0.624965,526.498041
23,1.754358,1.352647,0.781570,0.593826,0.617587,0.617587,529.241507
24,1.740991,1.294225,0.796359,0.623652,0.658101,0.658101,531.989377
25,1.729683,1.289742,0.798066,0.657639,0.650504,0.650504,537.224358
26,1.730780,1.318613,0.787827,0.547471,0.611905,0.611905,523.940697
27,1.713649,1.416936,0.773038,0.466090,0.537188,0.537188,523.471118
28,1.694955,1.270787,0.790671,0.554159,0.637112,0.637112,527.315454
29,1.691456,1.257694,0.798635,0.617961,0.662998,0.662998,529.611546
30,1.677184,1.233694,0.804892,0.657868,0.687807,0.687807,546.833020
31,1.668037,1.292430,0.795791,0.599668,0.616040,0.616040,538.169843
32,1.660027,1.244584,0.800910,0.641661,0.666897,0.666897,530.827326
33,1.646771,1.409334,0.716155,0.555803,0.556613,0.556613,547.685216
34,1.646000,1.238580,0.792947,0.616758,0.669061,0.669061,539.299784
35,1.629342,1.210310,0.808305,0.596630,0.641072,0.641072,535.170219
36,1.614890,1.189991,0.806598,0.672088,0.696903,0.696903,531.401785
37,1.610547,1.247106,0.799204,0.593270,0.626947,0.626947,536.021211
38,1.598862,1.185153,0.807736,0.616776,0.668216,0.668216,531.193760
39,1.587908,1.187755,0.797497,0.649583,0.700877,0.700877,545.278090
40,1.583475,1.201080,0.803185,0.630415,0.666197,0.666197,537.027580
41,1.576510,1.164082,0.811718,0.671173,0.698559,0.698559,536.085361
42,1.569941,1.147335,0.817975,0.673973,0.709981,0.709981,534.996167
43,1.557571,1.180193,0.806598,0.616952,0.669682,0.669682,535.650888
44,1.548555,1.153226,0.800910,0.643636,0.691970,0.691970,534.243823
45,1.543876,1.177274,0.804892,0.680692,0.675381,0.675381,535.477926
46,1.541445,1.138535,0.792947,0.566112,0.639541,0.639541,533.807687
47,1.532611,1.116554,0.811149,0.677848,0.720718,0.720718,533.669374
48,1.521723,1.126811,0.803185,0.660968,0.701816,0.701816,543.042678
49,1.509171,1.144536,0.793515,0.608165,0.668077,0.668077,523.732543
50,1.503422,1.120746,0.810011,0.681660,0.712221,0.712221,525.656975
51,1.503083,1.097806,0.816268,0.686807,0.717450,0.717450,543.707297
52,1.495786,1.093095,0.808874,0.647482,0.683372,0.683372,536.303639
53,1.489083,1.134940,0.795222,0.663321,0.684349,0.684349,528.473794
54,1.472645,1.133658,0.802617,0.623154,0.668740,0.668740,532.171521
55,1.468386,1.202326,0.767349,0.628320,0.643732,0.643732,533.924059
56,1.475187,1.092852,0.810011,0.665341,0.714959,0.714959,532.139759
57,1.456712,1.110773,0.807736,0.646608,0.673681,0.673681,531.429143
58,1.443202,1.208998,0.759954,0.581711,0.609182,0.609182,528.490288
59,1.438253,1.079745,0.819113,0.720763,0.725408,0.725408,525.829674
60,1.432000,1.074420,0.808305,0.688236,0.712167,0.712167,531.065137
61,1.435227,1.092849,0.800341,0.613847,0.662456,0.662456,535.432372
62,1.424195,1.059670,0.807736,0.656914,0.682656,0.682656,528.056480
63,1.415948,1.079656,0.800341,0.679898,0.704707,0.704707,524.088791
64,1.412007,1.042312,0.816268,0.687706,0.706647,0.706647,527.817970
65,1.407633,1.053090,0.802048,0.687630,0.705109,0.705109,526.787919
66,1.398950,1.024703,0.818544,0.687465,0.720381,0.720381,525.699070
67,1.389603,1.040714,0.813993,0.670975,0.708344,0.708344,530.790377
68,1.385770,1.019826,0.820250,0.699500,0.724411,0.724411,527.234068
69,1.390580,1.032709,0.812287,0.661969,0.702911,0.702911,525.780625
70,1.380247,1.014699,0.817406,0.688529,0.712349,0.712349,525.666399
71,1.369257,1.052427,0.806030,0.603416,0.653682,0.653682,523.239724
72,1.364776,1.024934,0.808305,0.681523,0.709275,0.709275,522.080398
73,1.357432,1.038884,0.815700,0.701562,0.717211,0.717211,525.437983
74,1.354325,1.024774,0.807736,0.668212,0.692068,0.692068,526.484501
75,1.342807,1.015482,0.807736,0.661689,0.705335,0.705335,527.448266
76,1.333047,1.002754,0.819113,0.687787,0.719731,0.719731,527.960760
77,1.339366,0.976660,0.820250,0.676706,0.719822,0.719822,524.457696
78,1.341239,0.987011,0.818544,0.684258,0.714734,0.714734,523.672714
79,1.316886,1.023952,0.811149,0.630597,0.667862,0.667862,529.231123
80,1.317740,0.976405,0.818544,0.681298,0.700368,0.700368,522.914636
81,1.316621,0.983538,0.813993,0.702128,0.735270,0.735270,533.799572
