epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,3.368811,3.418833,0.745304,0.000000,0.023117,1245.558702
2,2.497230,3.193465,0.655948,0.319970,0.158410,538.325529
3,2.399614,2.666556,0.746727,0.036219,0.144228,546.249862
4,2.353038,2.827226,0.745020,0.077669,0.155594,535.500739
5,2.313792,2.412331,0.751850,0.178548,0.315852,541.563371
6,2.282811,2.427441,0.749289,0.217953,0.333247,541.695773
7,2.251263,2.431538,0.715424,0.455270,0.436485,542.205451
8,2.213799,2.707329,0.754980,0.162355,0.222294,540.185942
9,2.177295,2.180875,0.769493,0.396568,0.482710,545.146543
10,2.127940,2.181370,0.762664,0.495338,0.530331,540.951683
11,2.087306,2.080064,0.787991,0.529498,0.588067,537.118744
12,2.057734,2.061240,0.786283,0.565286,0.607357,549.270009
13,2.032344,2.475436,0.684974,0.502192,0.473766,536.318896
14,2.012212,2.056370,0.788845,0.542733,0.619237,545.191546
15,1.993603,2.231205,0.749573,0.531900,0.601708,540.681952
16,1.968702,1.961136,0.796244,0.589904,0.637132,540.850996
17,1.964180,2.186245,0.777746,0.400045,0.467371,545.711872
18,1.940911,2.285249,0.746443,0.559233,0.541284,548.923770
19,1.924617,2.119061,0.770632,0.606481,0.617998,544.923182
20,1.910938,1.955199,0.802789,0.562073,0.598562,554.380233
21,1.895353,2.018547,0.795105,0.539869,0.582351,543.786104
22,1.887214,2.334478,0.687536,0.466604,0.466991,547.239420
23,1.872748,1.949224,0.801651,0.655570,0.656601,548.434063
24,1.860379,2.030105,0.774900,0.613923,0.630544,549.242856
25,1.849955,1.941787,0.798805,0.665178,0.667739,541.609957
26,1.843486,1.848898,0.814456,0.650688,0.659452,555.649814
27,1.827059,1.961683,0.795674,0.615528,0.600621,546.035983
28,1.823527,1.813934,0.811326,0.664595,0.698231,548.570020
29,1.810135,1.814869,0.806773,0.610961,0.679619,548.298837
30,1.799610,1.855846,0.803073,0.565353,0.636016,546.379257
31,1.790622,1.836042,0.807911,0.628770,0.668716,551.946153
32,1.777507,1.828263,0.811895,0.626227,0.665194,550.634118
33,1.777720,1.787339,0.811611,0.602494,0.647136,545.699382
34,1.769412,1.742926,0.820433,0.666871,0.698823,548.161922
35,1.748749,1.906519,0.791406,0.539423,0.608005,561.053808
36,1.740111,1.845551,0.798236,0.594173,0.654926,554.487408
37,1.732351,1.749318,0.816164,0.676610,0.705277,564.072196
38,1.726359,1.745496,0.818156,0.669422,0.691356,546.844852
39,1.722599,1.751575,0.817018,0.680024,0.687847,553.021884
40,1.711205,1.788403,0.806204,0.565236,0.622189,551.526391
41,1.696836,1.767652,0.810757,0.608309,0.675138,546.176519
42,1.698539,1.812045,0.794536,0.650074,0.672236,552.256941
43,1.686335,1.763904,0.813603,0.607691,0.655473,558.984021
44,1.677150,1.674594,0.818725,0.672449,0.700924,540.630018
45,1.671606,1.810067,0.806204,0.579147,0.640929,552.794020
46,1.658614,1.774089,0.796813,0.676951,0.694675,549.077929
47,1.656827,1.736207,0.811326,0.629708,0.661499,550.101956
48,1.650365,1.720420,0.805635,0.651074,0.673828,544.510803
49,1.647985,1.712032,0.809334,0.692939,0.709828,558.561154
50,1.630529,1.757490,0.805065,0.588274,0.643231,537.892790
51,1.626231,1.768398,0.797097,0.680088,0.705296,549.372913
