epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,1.753277,inf,0.534130,0.204062,0.149110,0.204062,413.795224
2,1.638085,inf,0.706485,0.345832,0.061745,0.345832,412.486696
3,1.579946,inf,0.023891,0.000000,0.038457,0.000000,411.892703
4,1.543212,inf,0.199659,0.049493,0.240770,0.049493,412.546821
5,1.504012,inf,0.319681,0.092127,0.423955,0.092127,412.127334
6,1.476374,inf,0.113766,0.024563,0.471007,0.024563,412.991375
7,1.442228,inf,0.470421,0.184580,0.327182,0.184580,411.739593
8,1.412078,inf,0.030717,0.002250,0.428901,0.002250,414.094266
9,1.383207,inf,0.045506,0.007221,0.513323,0.007221,411.455624
10,1.357500,inf,0.023891,0.000000,0.544160,0.000000,411.430249
11,1.335152,inf,0.519340,0.246101,0.405767,0.246101,410.574551
12,1.309047,inf,0.688851,0.462110,0.195543,0.462110,410.305558
13,1.296035,inf,0.482935,0.224337,0.536529,0.224337,409.858126
14,1.282204,inf,0.537543,0.259441,0.286604,0.259441,409.521247
15,1.269477,inf,0.024460,0.000186,0.374233,0.000186,410.616380
16,1.252383,inf,0.392491,0.150423,0.510674,0.150423,408.613193
17,1.241390,inf,0.037543,0.004201,0.579055,0.004201,409.462736
18,1.220047,inf,0.157565,0.043560,0.579223,0.043560,408.863558
19,1.214037,inf,0.023891,0.000000,0.563517,0.000000,410.419730
20,1.195290,inf,0.466439,0.210565,0.492055,0.210565,408.613956
21,1.189887,inf,0.054039,0.010152,0.582082,0.010152,409.400523
22,1.182475,inf,0.026735,0.000419,0.610715,0.000419,408.662629
23,1.174388,inf,0.040956,0.005514,0.571764,0.005514,410.430927
24,1.157664,inf,0.024460,0.000186,0.532872,0.000186,411.949495
25,1.147468,inf,0.203641,0.064242,0.670724,0.064242,409.431555
26,1.142290,inf,0.060865,0.011315,0.643439,0.011315,408.832103
27,1.130354,inf,0.664960,0.439592,0.454695,0.439592,408.286755
28,1.119380,inf,0.543800,0.284082,0.486608,0.284082,410.807613
29,1.108400,inf,0.154721,0.043969,0.592090,0.043969,410.813864
30,1.100773,inf,0.033561,0.002679,0.630896,0.002679,409.920413
31,1.093787,inf,0.295222,0.102868,0.618041,0.102868,411.778034
32,1.087568,inf,0.187144,0.056596,0.624183,0.056596,408.649789
33,1.073285,inf,0.034699,0.003412,0.665072,0.003412,411.092552
34,1.074987,inf,0.025028,-0.000141,0.634363,-0.000141,410.307751
35,1.061378,inf,0.292378,0.104540,0.559858,0.104540,410.200239
36,1.050707,inf,0.428896,0.187336,0.656245,0.187336,411.000368
