epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,1.617537,3.008997,0.674630,0.192438,0.211820,0.211820,418.798838
2,1.342040,5.465027,0.422639,0.209340,0.211436,0.211436,411.333378
3,1.256410,4.226634,0.589875,0.333671,0.342712,0.342712,409.993100
4,1.229516,8.571304,0.262799,0.175409,0.178719,0.178719,411.446880
5,1.209753,4.500965,0.623436,0.384605,0.396306,0.396306,410.310584
6,1.200527,4.865699,0.601251,0.357422,0.368370,0.368370,410.994995
7,1.188231,17.205681,0.122867,0.072102,0.072426,0.072426,411.032070
8,1.179483,20.185690,0.077361,0.054800,0.054355,0.054355,413.869189
9,1.169578,5.769627,0.732082,0.327717,0.328312,0.328312,415.100818
10,1.162936,5.010616,0.726394,0.432815,0.437377,0.437377,446.622592
11,1.154265,6.364202,0.522184,0.343343,0.343632,0.343632,444.410505
12,1.150365,26.411682,0.044937,0.032095,0.032450,0.032450,439.059947
13,1.141378,8.415313,0.376564,0.248804,0.255328,0.255328,411.803106
14,1.135888,34.708477,0.033561,0.014103,0.014043,0.014043,411.412523
15,1.133246,4.722302,0.705347,0.477399,0.493880,0.493880,411.304237
16,1.123442,5.872394,0.505119,0.358985,0.364164,0.364164,412.552134
17,1.120097,4.609808,0.709329,0.479627,0.490174,0.490174,413.924128
18,1.115861,5.174543,0.647327,0.443782,0.450985,0.450985,412.433879
19,1.108115,9.146157,0.433447,0.275163,0.281701,0.281701,415.442585
20,1.101971,4.963924,0.655290,0.457768,0.467939,0.467939,413.051221
21,1.097266,7.045330,0.480091,0.334142,0.346598,0.346598,410.496114
22,1.100029,6.109554,0.731513,0.458414,0.462713,0.462713,410.999859
23,1.095099,6.372173,0.558589,0.390665,0.388662,0.388662,411.312211
24,1.090297,5.798076,0.749716,0.396803,0.394624,0.394624,414.560290
25,1.081979,4.695466,0.731513,0.507833,0.511478,0.511478,413.071674
26,1.078674,4.383662,0.710466,0.478524,0.491263,0.491263,412.901514
27,1.078455,4.686228,0.732082,0.496305,0.507007,0.507007,413.595482
28,1.072034,6.179997,0.748009,0.386398,0.380179,0.380179,413.658308
29,1.073069,33.785469,0.051195,0.042185,0.041714,0.041714,414.608396
30,1.067313,9.764852,0.339022,0.260446,0.266759,0.266759,415.293936
31,1.062021,6.265972,0.742321,0.422958,0.421649,0.421649,414.646533
32,1.057683,5.080657,0.698521,0.486792,0.497781,0.497781,413.280728
33,1.056286,13.596036,0.236064,0.200164,0.200603,0.200603,412.573538
34,1.053278,7.219550,0.745734,0.333488,0.340275,0.340275,413.024039
35,1.049997,5.525525,0.643345,0.452278,0.461088,0.461088,411.996492
36,1.044910,5.238749,0.690557,0.496628,0.501776,0.501776,423.286044
37,1.041646,5.193803,0.641638,0.451617,0.466339,0.466339,468.212942
38,1.035812,15.392863,0.220137,0.197132,0.201129,0.201129,416.628272
39,1.035887,5.071248,0.736064,0.524183,0.529594,0.529594,441.753306
40,1.029534,26.544693,0.099545,0.096450,0.094754,0.094754,468.812364
41,1.027527,8.735091,0.740614,0.176483,0.174778,0.174778,416.054335
42,1.026736,7.679470,0.472696,0.341642,0.350942,0.350942,450.161232
43,1.024607,4.328151,0.690557,0.521589,0.533610,0.533610,436.065872
44,1.021117,4.884274,0.719568,0.525793,0.534326,0.534326,412.627224
45,1.022766,5.118134,0.752560,0.465331,0.462644,0.462644,412.733205
46,1.022670,4.294411,0.744596,0.534155,0.545904,0.545904,412.793632
47,1.015387,6.584046,0.568259,0.419034,0.432132,0.432132,416.318727
48,1.009687,15.703648,0.254266,0.209756,0.214434,0.214434,413.374349
49,1.007153,8.577329,0.745165,0.321704,0.332382,0.332382,416.323359
50,1.005855,6.382699,0.749147,0.400347,0.400115,0.400115,434.223966
51,1.004263,18.888668,0.233788,0.184113,0.183815,0.183815,436.294866
52,0.996955,10.997532,0.374289,0.303502,0.306499,0.306499,422.782232
53,0.996343,5.332178,0.751991,0.537849,0.543994,0.543994,411.625707
54,0.993564,12.569468,0.283276,0.252810,0.257441,0.257441,411.462610
55,0.991430,4.916148,0.686007,0.523163,0.533306,0.533306,412.542020
56,0.989148,5.199335,0.748009,0.550376,0.552110,0.552110,413.413640
57,0.987269,4.960258,0.738339,0.516639,0.521227,0.521227,410.836133
58,0.984589,8.945182,0.457338,0.355839,0.354150,0.354150,412.963707
59,0.980470,7.719043,0.752560,0.362029,0.367960,0.367960,413.065197
60,0.979740,13.828113,0.281001,0.237913,0.242962,0.242962,449.314985
61,0.977035,6.706752,0.587600,0.462483,0.467649,0.467649,425.117166
62,0.974918,9.203279,0.481229,0.378524,0.385013,0.385013,455.676835
63,0.972413,5.261695,0.760523,0.542806,0.551237,0.551237,459.559000
64,0.965671,12.864494,0.323094,0.257324,0.262457,0.262457,425.965358
65,0.967352,5.721291,0.705347,0.520011,0.526260,0.526260,462.223735
66,0.965012,7.980572,0.505119,0.408015,0.414842,0.414842,427.826554
67,0.959510,5.588480,0.753697,0.534494,0.542903,0.542903,430.316253
68,0.958014,12.780838,0.320819,0.252295,0.256650,0.256650,427.888378
69,0.955741,4.952356,0.736064,0.557047,0.571253,0.571253,438.558017
70,0.951587,7.484772,0.536974,0.414448,0.416965,0.416965,448.839130
71,0.953360,5.927447,0.757679,0.448960,0.451863,0.451863,428.914357
72,0.949857,4.901255,0.730944,0.540088,0.546818,0.546818,493.933453
73,0.947781,4.517364,0.723549,0.567781,0.578033,0.578033,424.240065
74,0.945376,5.165758,0.656428,0.512342,0.526292,0.526292,414.777610
75,0.944908,8.962809,0.447668,0.348279,0.358080,0.358080,413.550065
76,0.941869,5.203141,0.753129,0.573345,0.575681,0.575681,413.249960
