epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,1.734756,1.641835,0.729807,0.108209,0.246877,,527.856769
2,1.662808,1.896912,0.738339,0.021984,0.057600,,529.210510
3,1.620595,2.280145,0.386234,0.155393,0.140197,,536.500255
4,1.593881,1.594854,0.740614,0.418801,0.419103,,538.506295
5,1.570421,1.619916,0.745165,0.267452,0.402423,,525.521607
6,1.550691,1.627418,0.744596,0.159092,0.257715,,526.698303
7,1.532175,1.595948,0.722412,0.464389,0.420614,,529.270093
8,1.513888,1.524068,0.750853,0.431969,0.462614,,527.307031
9,1.498783,1.909856,0.509101,0.304573,0.309156,,530.879435
10,1.485946,1.489290,0.762799,0.492124,0.490978,,527.839999
11,1.471095,1.509173,0.753697,0.317675,0.431454,,527.486966
12,1.454826,2.027889,0.739477,0.066633,0.085647,,532.238676
13,1.441442,1.463537,0.762230,0.495267,0.545235,,540.476335
14,1.430088,1.420763,0.765074,0.429138,0.507707,,544.045498
15,1.419196,1.421112,0.768487,0.542585,0.552411,,593.290288
16,1.400596,1.396618,0.770762,0.483194,0.550772,,595.712826
17,1.386918,1.422030,0.758248,0.541608,0.560880,,588.576197
18,1.375323,1.515810,0.726394,0.556748,0.533017,,591.727932
19,1.362349,1.362818,0.782139,0.519154,0.560035,,591.919268
20,1.344772,1.558222,0.756542,0.277873,0.341756,,595.121464
21,1.336953,1.380191,0.775313,0.484760,0.541910,,587.107199
22,1.326182,1.331014,0.786121,0.521579,0.579388,,592.847044
23,1.317164,1.433842,0.766212,0.384487,0.456113,,592.185034
24,1.303605,1.387344,0.761092,0.601505,0.578105,,578.248746
25,1.293082,1.282411,0.792378,0.622856,0.648146,,583.385702
26,1.284589,1.306650,0.792378,0.581273,0.612485,,598.809642
27,1.275333,1.542503,0.760523,0.316256,0.386841,,597.867350
28,1.264627,1.278301,0.791240,0.603939,0.630719,,542.918801
29,1.258370,1.266780,0.786121,0.608897,0.638997,,535.553752
