epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,2.502918,2.256758,0.728100,0.098120,0.147393,628.953355
2,2.237912,2.189813,0.735495,0.098716,0.275402,623.990025
3,2.177598,2.142780,0.742321,0.282018,0.354882,622.864876
4,2.143917,2.126494,0.746871,0.405129,0.450594,622.624911
5,2.115707,2.112110,0.737201,0.428435,0.482143,628.793594
6,2.090128,2.202036,0.674061,0.413255,0.381198,636.816350
7,2.058682,2.111043,0.755404,0.231882,0.338624,630.884472
8,2.036387,2.104381,0.757679,0.271061,0.353792,633.756665
9,2.013735,2.104773,0.755973,0.243182,0.313381,623.971992
10,1.985221,2.123024,0.750853,0.238086,0.278566,623.520120
11,1.963648,1.992702,0.753697,0.538715,0.523691,625.654745
12,1.941162,1.932980,0.782139,0.571680,0.630488,623.100208
13,1.914310,2.160347,0.675768,0.446529,0.447504,631.012175
14,1.893826,1.897411,0.778157,0.468126,0.538989,631.014559
15,1.873084,1.885892,0.782708,0.564929,0.634388,622.563852
16,1.857743,1.850610,0.799772,0.634492,0.618108,624.482496
17,1.840292,1.829985,0.793515,0.569827,0.617884,632.168827
18,1.820128,1.996561,0.764505,0.340194,0.418353,631.680276
19,1.809510,1.843614,0.779295,0.504972,0.560578,631.141857
20,1.788351,1.827099,0.784983,0.534647,0.588028,628.627441
21,1.773103,1.764336,0.799204,0.618510,0.643905,624.974097
22,1.761160,1.767197,0.790671,0.577361,0.638910,619.921256
23,1.743744,1.797202,0.770193,0.578709,0.619454,628.605845
24,1.730000,1.710592,0.805461,0.642960,0.690556,625.259672
25,1.713596,1.777681,0.781001,0.522896,0.594174,623.653930
26,1.701619,1.727739,0.794084,0.534632,0.589591,621.812216
27,1.689967,1.761583,0.772469,0.622954,0.610232,626.154515
28,1.674132,1.701983,0.792947,0.656611,0.670257,614.912823
29,1.660364,1.641024,0.807736,0.641161,0.694481,628.838783
30,1.648681,1.684342,0.794084,0.564546,0.622497,637.451426
31,1.635656,1.799827,0.742321,0.574722,0.571030,617.645310
32,1.624142,1.620291,0.802048,0.651542,0.674081,619.379765
33,1.613400,1.617552,0.806598,0.616931,0.665368,619.337888
34,1.601303,1.727969,0.749716,0.621464,0.588661,621.369341
35,1.590112,1.624232,0.795791,0.591725,0.652541,633.759082
36,1.574914,1.859240,0.653015,0.502291,0.512461,619.271043
37,1.562768,1.563956,0.810580,0.694230,0.712032,617.714725
38,1.551394,1.594803,0.788396,0.642161,0.683617,614.147027
39,1.542242,1.600284,0.783276,0.643200,0.672708,622.354027
40,1.527684,1.584686,0.790102,0.647287,0.662884,618.226268
41,1.519193,1.580438,0.794084,0.680403,0.646256,616.158027
42,1.507156,1.505433,0.808305,0.666639,0.697488,635.676446
43,1.494926,1.609316,0.796928,0.516397,0.560037,640.639655
44,1.482393,1.610095,0.796359,0.593212,0.643346,629.729866
45,1.473883,1.470863,0.816837,0.689638,0.723008,630.933874
46,1.463040,1.457205,0.812287,0.673359,0.708764,618.770519
47,1.450841,1.516094,0.790671,0.660986,0.685936,616.609347
48,1.442677,1.507344,0.791809,0.592931,0.652715,617.872017
49,1.432448,1.561083,0.757110,0.632763,0.624609,622.243051
50,1.422659,1.451056,0.806598,0.635375,0.688183,622.340483
51,1.412010,1.492098,0.790102,0.650955,0.652786,614.806746
52,1.401080,1.522863,0.789534,0.515006,0.581653,618.047388
53,1.392649,1.414903,0.808305,0.627221,0.666535,622.023762
54,1.383237,1.413586,0.815131,0.600764,0.652746,625.899318
55,1.371801,1.391370,0.810011,0.661311,0.703753,629.950202
