epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.790752,8.059649,1.761894,10.798708,0.153790,0.155977,0.177748,0.056483,0.100000,0.326939,226.844233
2,1.727584,11.222161,1.705536,11.967203,0.182945,0.142128,0.533179,0.095962,0.100000,0.280942,144.688264
3,1.684060,12.741471,1.673535,13.564279,0.168367,0.150875,0.482566,0.114298,0.100000,0.280857,144.717882
4,1.650147,13.374422,1.639923,13.284041,0.200437,0.142128,0.589116,0.112668,0.100000,0.280953,144.918680
5,1.620075,13.857380,1.609591,12.976257,0.204810,0.142857,0.603943,0.118620,0.100000,0.280892,145.051679
6,1.591088,13.702882,1.582088,13.685444,0.188776,0.143586,0.577463,0.127366,0.100000,0.281211,145.302291
7,1.564333,14.024208,1.557779,13.469893,0.170554,0.147230,0.541664,0.124945,0.100000,0.280880,145.020499
8,1.536610,13.840396,1.528057,13.702394,0.199708,0.138484,0.618337,0.129418,0.100000,0.280940,145.087192
9,1.512539,13.936184,1.504461,13.719937,0.201895,0.142857,0.610693,0.129749,0.100000,0.281082,145.054372
10,1.488728,13.835639,1.482472,13.594237,0.203353,0.139942,0.620496,0.128997,0.100000,0.280886,145.223963
11,1.464274,13.378990,1.456876,13.094799,0.209184,0.139213,0.633552,0.135662,0.100000,0.280989,145.104499
12,1.442354,13.411255,1.436794,12.764547,0.201166,0.145044,0.606790,0.136955,0.100000,0.280917,145.035337
13,1.420535,13.181351,1.415976,12.981978,0.220117,0.137755,0.642144,0.131684,0.100000,0.280828,145.104291
14,1.400352,13.317197,1.394637,13.023526,0.225219,0.139942,0.644862,0.119867,0.100000,0.280914,145.127102
15,1.380460,13.060329,1.377573,12.548321,0.216472,0.139942,0.637665,0.129098,0.100000,0.280824,145.075365
16,1.361329,13.046748,1.358799,12.282883,0.220117,0.141399,0.637171,0.126459,0.100000,0.280897,145.129161
17,1.342378,12.801841,1.340244,12.641532,0.205539,0.142128,0.602564,0.135705,0.100000,0.281093,145.135550
18,1.325177,12.867640,1.324753,12.318717,0.225948,0.140671,0.650170,0.120763,0.100000,0.280876,145.128853
19,1.308308,12.577861,1.304611,12.317901,0.228134,0.137026,0.671408,0.139099,0.100000,0.280947,145.102860
20,1.292362,12.570704,1.289873,12.411399,0.225219,0.137026,0.668974,0.136313,0.100000,0.280866,145.094142
21,1.276969,12.502899,1.276850,11.861759,0.225948,0.139213,0.657973,0.138154,0.100000,0.280840,145.099405
22,1.262947,12.487524,1.259702,12.169143,0.224490,0.137755,0.674604,0.141316,0.100000,0.280795,145.010032
23,1.247470,12.328842,1.244348,12.021110,0.219388,0.137755,0.667529,0.144315,0.100000,0.280928,145.049785
24,1.234026,12.233908,1.234257,11.812674,0.231778,0.139942,0.670173,0.136721,0.100000,0.281022,144.852808
25,1.220539,12.010857,1.220291,11.819913,0.220117,0.137026,0.662348,0.140144,0.100000,0.281177,145.143779
26,1.208918,11.983645,1.206523,11.739581,0.228863,0.138484,0.677683,0.143679,0.100000,0.280920,144.988229
27,1.195940,11.854166,1.193924,12.063498,0.223032,0.140671,0.660446,0.145582,0.100000,0.280908,145.024337
28,1.183857,11.818147,1.183674,11.351003,0.239796,0.138484,0.685897,0.141434,0.100000,0.280959,144.993442
29,1.172188,11.589181,1.170544,11.471937,0.238338,0.137026,0.694306,0.143467,0.100000,0.280815,144.902107
30,1.160508,11.535378,1.163395,11.268222,0.228134,0.140671,0.667791,0.139968,0.100000,0.280929,145.144014
31,1.149789,11.395121,1.150074,11.188827,0.232507,0.139942,0.680845,0.145057,0.100000,0.280789,145.021363
32,1.140116,11.301455,1.141101,11.283788,0.238338,0.137755,0.681134,0.136757,0.100000,0.280860,144.993978
33,1.130207,11.147175,1.131896,10.950433,0.235423,0.138484,0.689492,0.139685,0.100000,0.280878,145.061127
34,1.121060,10.989964,1.122392,10.800941,0.222303,0.134840,0.666445,0.143645,0.100000,0.280816,144.936921
35,1.111617,10.867539,1.113488,10.667923,0.236880,0.137755,0.692391,0.141406,0.100000,0.280966,144.954701
36,1.102792,10.839320,1.103451,10.566739,0.244898,0.137755,0.702799,0.139148,0.100000,0.280738,144.884851
37,1.096270,10.693563,1.097076,10.419923,0.241983,0.138484,0.695039,0.143923,0.100000,0.280834,144.975217
38,1.087298,10.548587,1.089534,10.628901,0.238338,0.138484,0.694993,0.143116,0.100000,0.281069,145.015437
39,1.079655,10.620200,1.081116,10.426070,0.236880,0.139942,0.690837,0.143291,0.100000,0.281010,144.944148
40,1.072736,10.537475,1.073036,10.266735,0.247085,0.139213,0.706505,0.142381,0.100000,0.280882,145.072607
41,1.065208,10.425327,1.066767,10.304315,0.231778,0.138484,0.690940,0.147719,0.100000,0.280939,144.965031
42,1.058544,10.356450,1.060266,10.270644,0.233965,0.139213,0.691043,0.146508,0.100000,0.280935,144.971010
43,1.051758,10.227841,1.054424,10.111835,0.218659,0.137755,0.649991,0.144754,0.100000,0.281030,145.176663
44,1.045533,10.094342,1.047289,9.709924,0.241254,0.137026,0.703318,0.144771,0.100000,0.280975,144.876571
45,1.039792,9.938295,1.041747,9.716331,0.241983,0.137755,0.704676,0.145143,0.100000,0.280971,144.982252
46,1.032857,9.822814,1.036142,9.923127,0.228134,0.139213,0.685648,0.147454,0.100000,0.281005,145.002018
47,1.028235,9.763745,1.031855,9.729427,0.228134,0.137755,0.671030,0.143218,0.100000,0.281088,145.015140
48,1.023533,9.572983,1.025757,9.414199,0.231050,0.137755,0.690269,0.147682,0.100000,0.280988,145.095861
49,1.017191,9.587470,1.019974,9.318119,0.247813,0.137755,0.716687,0.143188,0.100000,0.280952,144.942153
50,1.012500,9.425051,1.015080,9.275895,0.249271,0.137755,0.710828,0.145209,0.100000,0.280999,144.849996
51,1.007971,9.420918,1.013821,9.359820,0.231778,0.139942,0.672647,0.141555,0.100000,0.280859,144.912712
52,1.003747,9.376083,1.006946,9.103406,0.243440,0.138484,0.701143,0.143432,0.100000,0.280800,144.880992
53,0.998307,9.190302,1.001930,9.188931,0.233236,0.138484,0.688880,0.146549,0.100000,0.281011,144.996922
54,0.994098,9.166218,0.998177,9.067979,0.244898,0.137026,0.708586,0.144237,0.100000,0.280999,144.997721
55,0.990160,9.077242,0.995320,8.989480,0.231778,0.136297,0.687116,0.144100,0.100000,0.280755,145.102578
56,0.986629,8.947073,0.994619,8.778629,0.223032,0.137755,0.661847,0.140679,0.100000,0.280765,145.116252
57,0.983566,8.849645,0.985198,8.788986,0.246356,0.137026,0.709759,0.147430,0.100000,0.280971,144.989058
58,0.978942,8.759010,0.981882,8.583419,0.248542,0.136297,0.712912,0.145916,0.100000,0.280965,145.012143
59,0.974774,8.656912,0.978133,8.530410,0.243440,0.137026,0.710287,0.148450,0.100000,0.281004,144.993779
60,0.972173,8.565508,0.976475,8.469401,0.232507,0.139942,0.680110,0.147184,0.100000,0.280859,144.972681
61,0.968837,8.497160,0.971895,8.266368,0.241254,0.137755,0.702794,0.147381,0.100000,0.280952,144.988202
62,0.966228,8.336434,0.970779,8.207737,0.244898,0.134840,0.702084,0.146028,0.100000,0.280855,144.986092
63,0.962679,8.283322,0.966623,8.111311,0.244898,0.139213,0.702797,0.144655,0.100000,0.281142,145.061586
64,0.960608,8.167464,0.964025,7.958566,0.247085,0.139942,0.708792,0.144592,0.100000,0.280996,145.081348
65,0.957765,7.980637,0.960458,7.797072,0.249271,0.137026,0.718703,0.145102,0.100000,0.280898,145.008722
66,0.954422,7.995422,0.959522,7.943254,0.240525,0.136297,0.702046,0.145859,0.100000,0.280947,145.026574
67,0.952981,7.873234,0.957904,7.731091,0.248542,0.137026,0.700387,0.141198,0.100000,0.281016,145.105899
68,0.950546,7.759206,0.956527,7.543916,0.236880,0.137755,0.687676,0.141226,0.100000,0.280963,145.053405
69,0.947863,7.572202,0.951904,7.664182,0.219388,0.139213,0.662952,0.147653,0.100000,0.280960,144.973192
70,0.945514,7.661741,0.949691,7.614727,0.233965,0.136297,0.693835,0.148323,0.100000,0.280943,144.965829
71,0.944924,7.551994,0.947640,7.299190,0.240525,0.137755,0.704402,0.148413,0.100000,0.281015,145.088464
72,0.943027,7.507635,0.944699,7.255628,0.236152,0.138484,0.698017,0.149082,0.100000,0.280928,144.937191
