epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.152335,1.314898,1.952737,1.154869,0.659363,0.610415,0.297766,0.312086,0.001000,0.116252,643.111849
2,1.797485,1.051885,1.697861,1.006848,0.672738,0.561184,0.288489,0.311828,0.001000,0.108527,414.056453
3,1.617925,0.980088,1.549037,0.963081,0.712578,0.629197,0.297045,0.344781,0.001000,0.108432,414.070952
4,1.495094,0.956311,1.454789,0.960937,0.726238,0.680706,0.329349,0.377677,0.001000,0.108882,419.248203
5,1.387975,0.933866,1.364340,0.947846,0.630620,0.450768,0.398704,0.365755,0.001000,0.108446,416.612759
6,1.293684,0.909872,1.269332,0.916245,0.731929,0.674730,0.365651,0.425598,0.001000,0.108494,416.828041
7,1.216009,0.888937,1.190738,0.887976,0.729084,0.680421,0.443508,0.476626,0.001000,0.108501,416.980291
8,1.146571,0.865110,1.137356,0.875663,0.717416,0.647126,0.526264,0.523529,0.001000,0.108467,416.911656
9,1.094294,0.849449,1.085902,0.856887,0.742459,0.708594,0.515004,0.544039,0.001000,0.108493,417.292186
10,1.060604,0.845119,1.070334,0.867562,0.708879,0.622652,0.559722,0.560258,0.001000,0.108475,416.625449
11,1.025136,0.833381,1.021528,0.840246,0.732499,0.694650,0.546992,0.567798,0.001000,0.108532,417.047203
12,0.997003,0.824482,0.988858,0.824790,0.721969,0.653956,0.606163,0.607365,0.001000,0.108489,416.598983
13,0.973654,0.816943,0.969828,0.819697,0.734206,0.684690,0.572575,0.592897,0.001000,0.108409,417.006757
14,0.953625,0.809575,0.969175,0.831090,0.728515,0.676153,0.569102,0.585553,0.001000,0.108432,416.654564
15,0.944724,0.811367,0.962909,0.833826,0.740467,0.686966,0.547187,0.560794,0.001000,0.108398,417.689373
16,0.929623,0.804737,0.926970,0.806643,0.734491,0.664769,0.601240,0.596541,0.001000,0.108478,417.747573
17,0.912555,0.795809,0.917537,0.804618,0.735913,0.699488,0.597052,0.615469,0.001000,0.108445,417.200355
18,0.903668,0.793851,0.939904,0.833009,0.742459,0.710871,0.572492,0.579917,0.001000,0.108472,417.519355
19,0.895944,0.792006,0.903312,0.801881,0.748719,0.714286,0.578052,0.599188,0.001000,0.108469,416.845059
20,0.881659,0.782736,0.892066,0.795858,0.724246,0.672453,0.619992,0.617881,0.001000,0.108576,420.571568
21,0.879368,0.785142,0.879419,0.787374,0.745304,0.710017,0.610059,0.634608,0.001000,0.108529,421.318129
22,0.870437,0.780403,0.876750,0.788991,0.748719,0.716278,0.608406,0.626218,0.001000,0.108451,421.008266
23,0.864585,0.778709,0.885054,0.801119,0.725669,0.679567,0.640041,0.631034,0.001000,0.108465,421.029643
24,0.859331,0.776561,0.887826,0.806105,0.743028,0.689243,0.605168,0.608976,0.001000,0.108536,420.931779
25,0.856335,0.776314,0.880042,0.801108,0.741320,0.676722,0.603385,0.595955,0.001000,0.108405,420.450803
26,0.847772,0.770348,0.865160,0.788959,0.756688,0.721969,0.581424,0.600456,0.001000,0.108427,420.686589
27,0.845642,0.770661,0.846673,0.773049,0.749004,0.716847,0.624713,0.637189,0.001000,0.108424,420.096091
28,0.838636,0.765991,0.866705,0.795310,0.756118,0.732499,0.604086,0.611411,0.001000,0.108494,420.721710
29,0.832432,0.762053,0.831671,0.762051,0.749573,0.698919,0.653318,0.657598,0.001000,0.108415,419.535828
