epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,4.014930,3.682954,0.234200,287.025604
2,2.865942,2.742794,0.438800,284.092553
3,2.270031,2.272308,0.540600,284.092510
4,1.836963,1.785569,0.622400,284.333077
5,1.521369,1.468330,0.700800,284.062353
6,1.312945,1.360117,0.702000,284.085710
7,1.168787,1.157251,0.756800,284.156469
8,1.057978,1.168132,0.748400,284.140593
9,0.969711,1.086643,0.750400,284.154516
10,0.910091,1.069844,0.741600,284.133883
11,0.860796,0.914871,0.797800,284.104873
12,0.821975,0.875765,0.797200,284.120974
13,0.789027,0.944676,0.779800,284.159626
14,0.767824,0.921789,0.790000,284.234157
15,0.753972,0.962931,0.766400,284.291766
16,0.738810,1.018259,0.759200,284.311688
17,0.727351,1.377608,0.686000,284.493513
18,0.715798,0.903193,0.791000,284.401064
19,0.708882,0.926464,0.773600,284.395844
20,0.703164,1.083160,0.743000,284.174640
21,0.696733,0.819896,0.809400,284.176871
22,0.689610,0.774250,0.828200,284.227723
23,0.683438,0.958258,0.778000,284.197005
24,0.683650,0.823175,0.816800,284.218707
25,0.674515,1.085319,0.742800,284.240105
26,0.676900,0.821629,0.816600,284.273258
27,0.670293,0.897021,0.796600,284.157039
28,0.669296,0.839310,0.814400,284.230991
29,0.659792,0.762607,0.831000,284.157017
30,0.658246,0.796227,0.828400,284.206278
31,0.654843,0.786795,0.824200,284.239320
32,0.655127,1.093163,0.750800,284.194155
33,0.654527,0.939439,0.799600,284.172933
34,0.650130,0.785222,0.831200,284.166673
35,0.651958,0.827445,0.821800,284.236127
36,0.648333,0.885728,0.796400,284.197838
37,0.647159,0.796346,0.825000,284.205295
38,0.651069,0.763363,0.828400,284.272724
39,0.642052,0.873481,0.801000,284.188503
40,0.639423,0.757082,0.842800,284.300789
41,0.639202,0.869997,0.813600,284.250084
42,0.644569,0.831549,0.820200,284.232374
43,0.642324,0.890261,0.808000,284.150397
44,0.638166,0.757844,0.839600,284.213431
45,0.633362,0.820611,0.819000,284.584758
46,0.635031,0.917392,0.786600,284.207434
47,0.630603,0.801776,0.833400,284.201308
48,0.634337,0.929164,0.799400,284.160306
49,0.631863,0.841485,0.800400,284.210463
50,0.635305,0.749265,0.850400,284.262751
51,0.631362,0.732100,0.843400,284.169763
52,0.636346,0.792997,0.839200,284.176767
53,0.630198,0.858181,0.808800,284.170613
54,0.628694,0.869591,0.815600,284.205165
55,0.631615,0.771173,0.845400,284.235539
56,0.626995,1.133640,0.748000,284.146703
57,0.630402,0.807996,0.833600,284.215612
58,0.627553,0.916839,0.809000,284.214976
59,0.624253,0.801946,0.834400,284.407989
60,0.624696,0.904966,0.805400,284.190898
61,0.624023,0.877388,0.821800,284.212932
62,0.625804,0.804847,0.837600,284.218334
63,0.623452,0.798003,0.832600,284.244638
64,0.627916,1.219827,0.733000,284.227903
65,0.629914,0.939005,0.791400,284.247352
66,0.624972,0.767738,0.836600,284.199467
67,0.623602,0.844846,0.817000,284.184319
68,0.618983,0.914091,0.807400,284.213229
69,0.620494,0.857598,0.816800,284.245308
70,0.622085,0.858990,0.808400,284.405251
71,0.619792,1.146485,0.760400,284.445600
72,0.626185,0.835909,0.822800,284.477946
73,0.622011,0.818843,0.820000,284.456292
74,0.617843,0.708158,0.856800,284.466488
75,0.620605,0.832574,0.828200,284.504200
76,0.620929,1.003706,0.770400,284.445561
77,0.622434,0.834792,0.832800,284.515034
78,0.620397,0.808064,0.832800,284.487280
79,0.617279,0.796114,0.831000,284.458528
80,0.616590,0.901809,0.813000,284.479308
81,0.621611,0.744353,0.847400,284.467062
