epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,4.783514,4.025413,0.278800,470.343602
2,3.557359,3.147505,0.398600,467.980182
3,2.946468,2.620993,0.480000,467.843744
4,2.440115,2.600856,0.507400,468.069937
5,2.069913,1.957162,0.593400,467.986443
6,1.796424,1.678433,0.631000,468.648483
7,1.584246,1.485488,0.662200,468.019954
8,1.417332,1.301805,0.702200,468.659437
9,1.288972,1.250888,0.706800,468.363268
10,1.191121,1.136272,0.726400,468.905966
11,1.123251,1.190817,0.703200,468.301360
12,1.066322,1.049473,0.750000,468.983301
13,1.028215,1.159996,0.732000,468.408215
14,0.992457,1.071244,0.741600,468.181944
15,0.976239,1.028439,0.758800,468.510750
16,0.958813,0.951497,0.780000,468.748816
17,0.940279,0.906036,0.788400,468.612363
18,0.920819,0.861376,0.793800,468.457940
19,0.911622,0.919459,0.782800,468.102961
20,0.912306,1.088310,0.741800,468.080587
21,0.898575,0.898801,0.792800,468.065116
22,0.889317,1.027825,0.754800,468.564816
23,0.883515,0.884747,0.786400,468.609197
24,0.879092,1.248532,0.740800,468.199158
25,0.877379,0.884824,0.798200,468.594454
26,0.867759,0.831530,0.813200,468.227295
27,0.862504,0.867841,0.803200,468.401990
28,0.852031,0.897039,0.793600,468.676986
29,0.854771,1.183050,0.730400,468.238757
30,0.852592,1.126120,0.734800,468.286164
31,0.852590,0.815109,0.817600,468.440808
32,0.844654,1.021914,0.755200,468.816515
33,0.836047,0.882202,0.799400,468.915370
34,0.841932,0.882946,0.811000,468.983427
35,0.841888,0.851220,0.818600,468.844143
36,0.836792,0.861054,0.815800,468.677534
37,0.832618,1.027269,0.795800,468.873761
38,0.830836,0.827215,0.826800,468.844583
39,0.828483,0.822195,0.816200,468.868168
40,0.822261,0.806589,0.827600,469.019174
41,0.819210,0.881791,0.808600,468.889634
42,0.824432,0.904992,0.802200,468.843426
43,0.823682,0.875488,0.804200,469.052935
44,0.819481,0.752212,0.841000,469.095310
45,0.817007,0.941606,0.791800,468.575914
46,0.808709,0.814681,0.820000,468.576291
47,0.814578,0.853925,0.811200,468.533913
48,0.808908,0.999177,0.790000,468.609103
49,0.813777,1.054812,0.763800,468.880431
50,0.804606,0.828442,0.819000,468.724024
51,0.809780,0.956989,0.774800,468.729103
52,0.806175,0.834210,0.820800,468.881808
53,0.807641,0.838419,0.810400,468.413973
54,0.799258,0.800351,0.829200,468.925980
55,0.804804,1.043084,0.779400,468.648629
56,0.800915,1.139097,0.751400,468.939979
57,0.798605,0.896221,0.806800,468.537217
58,0.790955,1.092031,0.738400,468.857594
59,0.801550,1.027385,0.775800,468.836063
60,0.796640,0.814630,0.817000,468.451821
61,0.792767,0.809098,0.828600,468.506831
62,0.785159,0.815838,0.824000,468.484407
63,0.791386,0.878332,0.807000,468.619193
64,0.787409,0.924863,0.815000,468.887172
65,0.796500,0.822826,0.832800,468.393503
66,0.782308,0.809289,0.825200,469.073264
67,0.780774,0.775635,0.847000,468.943487
68,0.785881,0.849079,0.821200,468.462062
69,0.781020,0.872955,0.806200,468.955958
70,0.781804,0.861657,0.821000,468.518694
71,0.781462,0.920366,0.805400,468.964076
72,0.787447,0.859356,0.820800,468.948652
73,0.783027,0.932139,0.806400,468.532244
74,0.783819,0.836411,0.821000,468.557505
75,0.779348,0.902900,0.817200,468.967811
76,0.780367,0.791817,0.835200,468.949855
77,0.782203,0.815285,0.825400,468.974409
78,0.777029,0.871420,0.822600,468.997942
79,0.776252,0.817980,0.832000,468.617063
80,0.779314,1.058847,0.759400,468.601325
81,0.780317,1.347705,0.736800,468.640146
82,0.781583,0.926402,0.818800,469.062416
83,0.778815,1.194369,0.726800,468.840028
84,0.775640,0.771739,0.852600,469.033431
85,0.774737,0.888251,0.818200,468.762782
86,0.767682,0.938793,0.810200,468.990235
87,0.774648,0.939078,0.805800,468.832824
88,0.770844,0.806744,0.826200,468.965216
89,0.776172,0.916177,0.807800,468.824289
90,0.770099,1.031275,0.775000,468.929730
91,0.777498,0.906300,0.828600,468.884114
92,0.774487,0.811415,0.842000,468.952767
93,0.768298,0.794429,0.831800,469.003887
94,0.764242,0.809398,0.835000,468.511680
95,0.775307,1.115254,0.766600,468.813818
96,0.771358,1.177077,0.753400,468.415188
97,0.768657,0.879204,0.819800,468.529268
98,0.770472,0.901966,0.823800,468.712240
99,0.767483,0.966438,0.794800,468.534001
100,0.767048,0.805843,0.835600,468.941594
1,0.646502,0.641173,0.883200,473.209107
2,0.600790,0.590875,0.894600,472.787990
3,0.578231,0.585740,0.897800,473.396017
4,0.566809,0.599784,0.894200,474.806293
5,0.554158,0.592050,0.896000,476.001500
6,0.543077,0.571237,0.898400,479.379826
7,0.533434,0.570121,0.897600,479.765819
8,0.525204,0.549711,0.901600,480.678785
9,0.522969,0.559550,0.898200,481.602724
10,0.509008,0.553173,0.897600,481.910886
11,0.503588,0.543662,0.898400,484.577529
12,0.498505,0.558780,0.896200,483.655761
13,0.494637,0.598320,0.892600,483.797890
14,0.487080,0.537756,0.900800,483.767246
15,0.481342,0.541590,0.905400,483.647469
16,0.477375,0.543208,0.901200,484.406930
17,0.476470,0.523854,0.903800,482.885689
18,0.464166,0.535724,0.901200,482.616343
19,0.465478,0.555726,0.897000,485.401791
20,0.464367,0.572811,0.899200,486.725983
21,0.458829,0.535893,0.903400,489.636986
22,0.454060,0.542954,0.900000,489.243548
23,0.453182,0.511849,0.905200,489.607533
24,0.450300,0.576608,0.900400,488.449225
25,0.449005,0.627698,0.881800,491.108645
26,0.447240,0.513297,0.901000,492.931509
27,0.446122,0.531563,0.904400,492.680476
28,0.436884,0.547382,0.899800,493.573903
29,0.436471,0.539527,0.898400,492.871851
30,0.437753,0.545649,0.892400,495.984412
31,0.435976,0.516843,0.902000,492.244653
32,0.433298,0.535899,0.891000,481.133010
33,0.432735,0.518596,0.895400,476.695869
34,0.433527,0.532439,0.900200,476.154849
35,0.427759,0.529292,0.901600,477.480024
36,0.430327,0.563553,0.898600,475.332539
37,0.427217,0.649201,0.892400,472.404702
38,0.423391,0.559471,0.896200,471.424673
39,0.426546,0.515572,0.899400,470.159512
40,0.424012,0.578404,0.894400,470.533950
41,0.426065,0.563334,0.894000,469.138085
42,0.421241,0.519174,0.894000,469.654613
43,0.419146,0.494413,0.899800,471.078769
44,0.421856,0.516429,0.894200,473.407728
45,0.420327,0.472957,0.904000,477.343875
46,0.413263,0.519674,0.899800,477.212772
47,0.417956,0.501963,0.899800,477.376368
48,0.415265,0.560634,0.894000,476.451612
49,0.418543,0.505155,0.901600,476.658203
50,0.414444,0.482113,0.906400,480.215215
51,0.413603,0.531706,0.892400,479.203053
52,0.413050,0.527614,0.896000,486.806926
53,0.415331,0.509691,0.894800,491.434799
54,0.411952,0.473674,0.908400,494.712883
55,0.413374,0.532682,0.897800,499.162481
56,0.411210,0.565251,0.896600,500.871525
57,0.411454,0.543088,0.889200,502.650352
58,0.411871,0.512072,0.899200,502.743427
59,0.411538,0.556739,0.889000,504.451724
60,0.411828,0.487203,0.902200,503.586740
61,0.409124,0.537202,0.891600,503.678579
62,0.410089,0.477336,0.905000,503.564819
63,0.408035,0.508534,0.898600,502.447279
64,0.407437,0.528843,0.900000,506.004489
65,0.408984,0.514920,0.901000,506.656115
66,0.408395,0.488642,0.902000,507.045148
67,0.407986,0.515242,0.899400,506.968116
68,0.408294,0.459623,0.908600,508.814664
69,0.406953,0.491975,0.904800,509.566108
70,0.403142,0.483215,0.905200,508.358476
71,0.403874,0.498770,0.901800,508.154354
72,0.407132,0.542744,0.892800,506.739979
73,0.407932,0.506522,0.901400,506.569631
74,0.401942,0.468254,0.901400,504.401635
75,0.403057,0.504900,0.902600,502.989532
76,0.403950,0.527226,0.899400,502.750629
77,0.404542,0.485580,0.899600,501.613653
