epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,4.450620,3.674515,0.406200,427.949368
2,3.253673,3.287378,0.433200,432.592983
3,2.618141,2.579666,0.536400,436.313227
4,2.120748,2.010567,0.647600,437.981962
5,1.735668,1.694646,0.691800,438.926061
6,1.459498,1.623245,0.692000,439.575948
7,1.259543,1.298830,0.750400,439.899301
8,1.114260,1.176008,0.755400,440.237772
9,1.007501,1.131553,0.759600,441.160160
10,0.929255,1.089211,0.759400,441.919526
11,0.866080,1.107168,0.760800,442.550842
12,0.823223,0.919937,0.792600,443.526989
13,0.786034,0.864201,0.811800,444.110331
14,0.762322,0.770183,0.836000,445.303531
15,0.736927,0.813250,0.821800,445.875191
16,0.719596,0.804562,0.821200,446.264658
17,0.700960,1.333563,0.724600,446.765365
18,0.694182,0.862028,0.804800,447.851194
19,0.684411,0.812020,0.817400,448.654867
20,0.673144,1.001057,0.775000,448.964450
21,0.664019,0.878993,0.805600,449.951449
22,0.661034,0.884472,0.795800,450.252473
23,0.652879,1.253045,0.715000,450.400738
24,0.649206,0.892091,0.796600,451.157318
25,0.646976,0.824927,0.821800,452.282373
26,0.640102,0.813939,0.824800,452.445673
27,0.637970,0.727750,0.852200,452.650682
28,0.630397,1.124054,0.748600,452.706425
29,0.630394,0.803296,0.827200,453.251179
30,0.625669,0.785404,0.844000,454.159191
31,0.620345,0.692340,0.862000,454.852433
32,0.615821,0.868991,0.814400,455.715856
33,0.616290,0.908842,0.798000,457.275152
34,0.617605,0.736007,0.843600,457.115478
35,0.614995,1.149822,0.747400,458.095587
36,0.614233,0.981322,0.777400,457.764099
37,0.610094,0.813458,0.831200,457.654679
38,0.603638,1.095517,0.778400,457.291192
39,0.600155,0.903614,0.807600,457.560250
40,0.604017,0.836019,0.819400,457.641704
41,0.599113,0.901021,0.801800,458.407566
42,0.595778,0.735128,0.849000,460.499832
43,0.593396,0.815621,0.830200,462.071054
44,0.594595,0.826008,0.836600,463.596391
45,0.587737,0.884980,0.816800,464.801160
46,0.591500,1.001242,0.790800,466.283687
47,0.588682,1.117875,0.761200,466.796931
48,0.589386,1.009200,0.794800,467.399699
49,0.585769,0.744738,0.849000,468.345487
50,0.586856,0.796557,0.839600,462.976789
51,0.581937,0.855838,0.827800,462.905231
52,0.585474,1.056220,0.795200,464.740174
53,0.585614,0.868930,0.817400,465.845172
54,0.581714,0.784310,0.848200,466.239330
55,0.579238,0.764016,0.849600,466.397169
56,0.579107,1.246268,0.774800,466.523972
57,0.581846,1.223916,0.746800,466.989692
58,0.584723,0.876064,0.818600,467.254025
59,0.573809,0.835487,0.845000,466.793754
60,0.573460,0.914471,0.823600,463.816148
61,0.573590,0.824043,0.828800,464.161539
62,0.571759,0.734456,0.865200,462.243548
63,0.570135,0.925934,0.804000,453.727276
64,0.569444,0.869865,0.833600,446.987202
65,0.570143,0.882253,0.807000,442.402193
66,0.570672,0.966127,0.801200,440.528431
67,0.568215,0.997951,0.795400,440.162400
68,0.569359,0.975753,0.796400,440.189529
69,0.567001,0.747775,0.857000,439.830037
70,0.564617,0.875612,0.804600,440.248063
71,0.563982,1.062079,0.766800,439.804532
72,0.564183,1.100959,0.777200,439.560679
73,0.561672,0.815695,0.830600,438.524252
74,0.557610,0.806156,0.842800,438.044919
75,0.562670,0.853933,0.833600,438.446411
76,0.555697,0.739730,0.859000,438.493304
77,0.563485,0.770332,0.853200,438.120941
78,0.562349,0.891933,0.832400,437.747857
79,0.559486,1.144551,0.767200,437.318828
80,0.562838,0.747619,0.862200,437.303995
81,0.551413,0.732730,0.857400,437.577027
82,0.560120,0.947005,0.820200,437.144495
83,0.557478,0.779302,0.848400,436.808534
84,0.554332,1.014720,0.785200,436.723329
85,0.556568,0.908834,0.808200,437.052790
86,0.556614,1.133180,0.761600,437.155955
87,0.557485,0.839840,0.828000,436.904617
88,0.553156,0.860644,0.829400,436.728220
89,0.553599,0.826240,0.848200,436.427198
90,0.553756,0.757146,0.857800,436.369801
91,0.548104,0.954381,0.791200,435.894684
92,0.556697,0.875602,0.815000,436.309354
93,0.553429,1.126435,0.770600,434.776631
94,0.552739,0.986765,0.818200,434.751666
95,0.552915,0.930918,0.796200,434.799144
96,0.551123,0.803301,0.844200,434.771004
97,0.552231,1.651727,0.702000,432.409245
98,0.555646,0.937700,0.810000,432.669554
99,0.553658,0.799990,0.838200,432.608928
100,0.550972,1.079896,0.789600,432.005883
1,0.421451,0.539371,0.923200,278.755142
2,0.377874,0.538035,0.922400,278.375323
3,0.357669,0.537015,0.925200,278.238432
4,0.342087,0.534119,0.927400,279.666107
5,0.330133,0.533074,0.928200,278.352748
6,0.316961,0.525146,0.927000,279.237459
7,0.307181,0.539352,0.924200,278.293820
8,0.297460,0.533811,0.924000,280.212475
